left_member_id,right_member_id,distance
2864601_0.449,2864601_0.376,0.9477073420497742
2864601_0.449,2864601_0.305,1.246741646994239
2864601_0.449,2864601_0.496,1.0827891910240393
2864601_0.449,2864601_0.261,1.047222222032239
2864601_0.449,2864601_0.252,0.9023468107647393
2864601_0.449,2864601_0.208,0.9218624746822692
2864601_0.449,2864601_0.230,0.9761293774185723
2864601_0.449,2864601_0.452,1.1589697610822691
2864601_0.449,2864601_0.498,1.01222455889506
2864601_0.449,2864601_0.271,1.0810127883804828
2864601_0.449,2864601_0.450,3.517804078187769
