member_id,row_id,function,perturbation,validity,signed_change_native,absolute_change_native,estimand
2864601_0.386,24944,original_f,random_joint_shift,exact_symmetry,0.0,0.0,"native max(log Q, -2)"
2864601_0.386,25760,original_f,random_joint_shift,exact_symmetry,-0.8143495321273804,0.8143495321273804,"native max(log Q, -2)"
2864601_0.386,25816,original_f,random_joint_shift,exact_symmetry,0.004094839096069336,0.004094839096069336,"native max(log Q, -2)"
2864601_0.386,26411,original_f,random_joint_shift,exact_symmetry,0.025470256805419922,0.025470256805419922,"native max(log Q, -2)"
2864601_0.386,26622,original_f,random_joint_shift,exact_symmetry,-0.09285944700241089,0.09285944700241089,"native max(log Q, -2)"
2864601_0.386,26650,original_f,random_joint_shift,exact_symmetry,-0.09202957153320312,0.09202957153320312,"native max(log Q, -2)"
2864601_0.386,26655,original_f,random_joint_shift,exact_symmetry,0.06613349914550781,0.06613349914550781,"native max(log Q, -2)"
2864601_0.386,26894,original_f,random_joint_shift,exact_symmetry,-0.014375448226928711,0.014375448226928711,"native max(log Q, -2)"
2864601_0.386,27091,original_f,random_joint_shift,exact_symmetry,-0.12249135971069336,0.12249135971069336,"native max(log Q, -2)"
2864601_0.386,27397,original_f,random_joint_shift,exact_symmetry,-0.011401653289794922,0.011401653289794922,"native max(log Q, -2)"
2864601_0.386,27892,original_f,random_joint_shift,exact_symmetry,-0.10508918762207031,0.10508918762207031,"native max(log Q, -2)"
2864601_0.386,28836,original_f,random_joint_shift,exact_symmetry,-7.843971252441406e-05,7.843971252441406e-05,"native max(log Q, -2)"
2864601_0.386,28887,original_f,random_joint_shift,exact_symmetry,-0.2297801971435547,0.2297801971435547,"native max(log Q, -2)"
2864601_0.386,28936,original_f,random_joint_shift,exact_symmetry,-0.00016069412231445312,0.00016069412231445312,"native max(log Q, -2)"
2864601_0.386,29416,original_f,random_joint_shift,exact_symmetry,0.030603229999542236,0.030603229999542236,"native max(log Q, -2)"
2864601_0.386,29695,original_f,random_joint_shift,exact_symmetry,0.0,0.0,"native max(log Q, -2)"
2864601_0.386,29844,original_f,random_joint_shift,exact_symmetry,-0.13866400718688965,0.13866400718688965,"native max(log Q, -2)"
2864601_0.386,29867,original_f,random_joint_shift,exact_symmetry,0.11525225639343262,0.11525225639343262,"native max(log Q, -2)"
2864601_0.386,29999,original_f,random_joint_shift,exact_symmetry,0.32397180795669556,0.32397180795669556,"native max(log Q, -2)"
2864601_0.386,30149,original_f,random_joint_shift,exact_symmetry,0.07510167360305786,0.07510167360305786,"native max(log Q, -2)"
