feature,outcome,regime,sample_count,spearman,interval_lower,interval_upper,finite_resamples,resampling_unit,interval_kind,feature_selection
motif_activation_dispersion,ensemble_spread,unstable,760,0.128270560316796,0.05614575055971924,0.19912885682597517,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
motif_activation_dispersion,ensemble_absolute_error,unstable,760,0.0845132222036031,0.020646724315142147,0.1564144108161428,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_spread,unstable,760,0.36362378889524616,0.30098256186030004,0.4218373538348522,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_absolute_error,unstable,760,0.1319923556508563,0.05525704026547525,0.20227295027474845,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_spread,unstable,760,-0.11411931933203949,-0.1816092160508294,-0.04421353753792188,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_absolute_error,unstable,760,-0.013799327580863989,-0.08727054103686617,0.051188976024025404,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_spread,unstable,760,-0.021060832497067486,-0.0899559750137003,0.053701842695051,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_absolute_error,unstable,760,-0.11961468259576555,-0.1883692436712316,-0.04686722906161688,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_spread,unstable,760,0.11063106885026135,0.04920061753950335,0.1746381546613705,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_absolute_error,unstable,760,0.03907313770134279,-0.03203028398795068,0.10977347092875367,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
d_pressure_d_s,ensemble_spread,unstable,760,-0.16320727196221813,-0.23203813473350268,-0.09775797910887087,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
d_pressure_d_s,ensemble_absolute_error,unstable,760,-0.1573017019712956,-0.22249634501065954,-0.08755355665503954,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_spread,unstable,760,-0.05563385903512948,-0.12829859346071035,0.017248297172835207,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_absolute_error,unstable,760,0.0030833921312966588,-0.06577928817073955,0.06452729654310912,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
rho,ensemble_spread,unstable,760,-0.21644636722563215,-0.27939965524474064,-0.14681903274668565,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
rho,ensemble_absolute_error,unstable,760,-0.15258527109638348,-0.22620168452328845,-0.0863135718613918,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect_over_rho,ensemble_spread,unstable,760,0.1752133263825996,0.09943423246514935,0.2402495551764064,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect_over_rho,ensemble_absolute_error,unstable,760,0.1414927639198967,0.06598699003997896,0.2058693973218434,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
