member_id,stratifier,level,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
2864601_0.402,fixed_pair_split,validation,1017.0,0.9807658197991863,0.09190301670151546,0.00955109244817822,-0.6320832276344299,-0.32607154846191405,-0.0635528564453125,1.3113021850585938e-05,0.07600462436676025,0.4081005334854123,0.8630285632610332
2864601_0.402,equilibrium_in_train,True,9785.0,0.9853888132723274,0.07074954035502115,0.004112910743876906,-0.7489208602905273,-0.3592381715774536,-0.06506597995758057,0.000997781753540039,0.07639837265014648,0.3738574981689449,0.7680550098419183
2864601_0.279,stability,stable_near_floor,3170.0,-891.2759040549545,0.023633040186928717,0.032658028250048966,-0.04326333999633789,-0.02443472146987915,-0.006496429443359375,0.002650141716003418,0.013612210750579834,0.18221331238746583,0.7013389062881462
2864601_0.279,stability,unstable,6615.0,0.9687007823769083,0.0940852265941146,-0.010148117246986377,-1.0052578902244569,-0.45770186632871623,-0.13528239727020264,-0.00392913818359375,0.12764298170804977,0.4097838699817652,0.7888718473911253
2864601_0.279,flux_regime,high_flux,2205.0,0.8902715742002572,0.07869299052092539,-0.020260929142266446,-1.1596869945526125,-0.3637258529663086,-0.10993123054504395,-0.00850057601928711,0.10237646102905273,0.3109687805175778,0.6499732017517095
2864601_0.279,flux_regime,low_flux,2205.0,0.7417581747917594,0.13914378327843666,0.002566932104493633,-1.1066797268390656,-0.5990790843963623,-0.1873532086610794,0.01176634430885315,0.19963578879833221,0.5735132753849026,0.9153812527656556
2864601_0.279,flux_regime,medium_flux,2205.0,0.7179437598602252,0.06441890598298171,-0.01275035470318632,-0.680404806137085,-0.35952110290527345,-0.1309264898300171,-0.009714722633361816,0.1081458330154419,0.34664750099182107,0.6161667346954349
2864601_0.279,flux_regime,near_threshold,29.0,-175.61058409740727,0.0913410110558954,0.18551392801876726,-0.03459225177764893,-0.022633433341979977,0.009832262992858887,0.0630640983581543,0.32183802127838135,0.5697276830673217,0.8594057130813594
2864601_0.279,flux_regime,stable_floor,3141.0,nan,0.023007910879319665,0.03124675123849442,-0.043537139892578125,-0.0244290828704834,-0.006519317626953125,0.002575397491455078,0.013322114944458008,0.17365658283233643,0.6879528284072856
2864601_0.279,a_over_LT_tertile,0,3262.0,0.9160106841698679,0.0768735806984737,0.0028483092622927967,-0.9963941073417664,-0.35486798286437987,-0.01301562786102295,0.001889348030090332,0.01848214864730835,0.36621327996253933,0.9023938083648682
2864601_0.279,a_over_LT_tertile,1,3261.0,0.9706185977164671,0.08208825597882052,0.0073418930569164285,-0.8310839086771011,-0.3846677541732788,-0.09346628189086914,0.0011317729949951172,0.1010703444480896,0.41581499576568604,0.8165572643280044
2864601_0.279,a_over_LT_tertile,2,3262.0,0.9813440926214818,0.054824981093585856,0.0009696676553147636,-0.7016201889514924,-0.3268175840377807,-0.10575175285339355,0.0025174617767333984,0.11387832462787628,0.3441180050373076,0.6346966750919816
2864601_0.279,a_over_Ln_tertile,0,3262.0,0.9769143271106656,0.11163887299619998,0.00380575853480017,-1.092101739346981,-0.46224208995699884,-0.0629911720752716,0.0037596821784973145,0.07856865972280502,0.47139625549316366,1.0029595077037792
2864601_0.279,a_over_Ln_tertile,1,3261.0,0.987166973160569,0.058948330084980856,0.0062172449389455466,-0.7264371037483215,-0.3017735481262207,-0.07274508476257324,0.0002636909484863281,0.08433282375335693,0.3487553596496582,0.6588721513748179
2864601_0.279,a_over_Ln_tertile,2,3262.0,0.9912704227828664,0.0431925209049372,0.0011365217282099176,-0.6720246136188507,-0.31300992220640184,-0.06721413135528564,0.000578761100769043,0.06907850503921509,0.3397851109504695,0.5934111893177032
2864601_0.279,equilibrium_class,0,5033.0,0.9835388395753059,0.08063809052140415,0.0002663476294403503,-0.8870918369293213,-0.3963117927312851,-0.07064509391784668,0.0020477771759033203,0.0815003514289856,0.39608631134033195,0.8003753453493138
2864601_0.279,equilibrium_class,1,1221.0,0.9847088274913413,0.07462914706624015,0.01393939232694734,-0.8233615309000015,-0.35905736684799194,-0.0692477822303772,0.004354715347290039,0.08208990097045898,0.37819361686706543,0.9783781290054279
2864601_0.279,equilibrium_class,2,1253.0,0.9855024186341153,0.06111743561159057,0.006484545548413029,-0.635081856250763,-0.28410992622375486,-0.06503976136445999,0.0018364191055297852,0.07368797063827515,0.34420075416564944,0.62711392402649
2864601_0.279,equilibrium_class,3,795.0,0.9890810666957341,0.05028594087660962,0.012079768303676314,-0.6273326876759528,-0.26938729286193847,-0.05318772792816162,0.0008847713470458984,0.07263047760352492,0.2984098434448241,0.6728389826416916
2864601_0.279,equilibrium_class,4,1483.0,0.9890492695209883,0.0564796650925813,0.00020706469324352728,-0.6766509938240052,-0.30138030052185055,-0.06930375099182129,-0.0025146007537841797,0.06217262148857117,0.3459153175354003,0.7073600098490718
2864601_0.279,fixed_pair_split,test,994.0,0.987977873237781,0.05819954109079263,0.017482410423842708,-0.6733128577470779,-0.3137095287442207,-0.05898255109786987,0.002675294876098633,0.0909991767257452,0.3984818078577515,0.7065688294172275
2864601_0.279,fixed_pair_split,train,7774.0,0.9855578881245799,0.07001362139488987,0.0006053861782281759,-0.8341681575775146,-0.36572996973991395,-0.0692613273859024,0.0014423131942749023,0.07479432225227356,0.3664884835481641,0.7689241039752959
