member_id,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
2864601_0.510,9785.0,0.9844542259673115,0.07527495115729989,0.00657659092526081,-0.8578735852241516,-0.35795062184333803,-0.059720754623413086,0.005003213882446289,0.08946019411087036,0.3697770476341247,0.7344078063964836
2864601_0.376,9785.0,0.9851596694213781,0.07185908897909969,0.0031822725932246364,-0.7887501633167266,-0.3620252966880798,-0.07494521141052246,0.0028715133666992188,0.08095717430114746,0.37810783386230445,0.7723293495178221
2864601_0.305,9785.0,0.9846699189034192,0.07423053386444939,0.015173171482683176,-0.8145644915103912,-0.35059151649475095,-0.05480527877807617,0.003927707672119141,0.0967557430267334,0.39499663114547684,0.8363032054901123
2864601_0.496,9785.0,0.9844071098106173,0.0755030945991392,0.005204721372671531,-0.810442750453949,-0.37521809339523315,-0.06662917137145996,0.0032802820205688477,0.08068037033081055,0.39062423706054655,0.8052630519866941
2864601_0.261,9785.0,0.9844507478004514,0.07529179295880535,-0.001110864998337893,-0.8858203196525574,-0.3852537989616394,-0.07186277583241463,0.002166152000427246,0.07421967387199402,0.37944984436035156,0.7645256042480463
2864601_0.252,9785.0,0.9840431981182541,0.07726520916549037,-0.009695316611696488,-0.8708909606933594,-0.3881386280059814,-0.08526581525802612,-0.004077911376953125,0.07131218910217285,0.3604973793029781,0.8059462499618517
2864601_0.208,9785.0,0.9844023225297451,0.07552627532549416,0.0035735026568926988,-0.8336503601074219,-0.37280553579330444,-0.06679275631904602,0.0012515783309936523,0.07663869857788086,0.38936543464660633,0.7909795570373531
2864601_0.230,9785.0,0.9849537856931929,0.07285600862752879,0.011243768904367547,-0.8029915738105774,-0.3511206865310669,-0.06392407417297363,0.003940463066101074,0.08700156211853027,0.39060432910919185,0.842233238220214
2864601_0.452,9785.0,0.9837981721063885,0.07845166157607285,-0.0018815387084426508,-0.8785764634609222,-0.38277819156646725,-0.07412445545196533,0.0021783113479614258,0.07512044906616211,0.36457843780517574,0.8107897853851308
2864601_0.498,9785.0,0.9855266800226852,0.07008196903450861,0.00923296297513656,-0.8132251358032226,-0.3619272649288177,-0.05771064758300781,0.0054923295974731445,0.08769607543945312,0.38815145492553704,0.7620029598474494
2864601_0.271,9785.0,0.983953315739339,0.07770043301915715,0.013504521557858393,-0.8499755477905273,-0.35471942424774167,-0.05462026596069336,0.002762317657470703,0.09665703773498535,0.4035887718200676,0.8164497399330137
2864601_0.450,9785.0,0.9852320055195767,0.0715088268276394,-0.002871488018000525,-0.7929991149902343,-0.3737064063549041,-0.07815957069396973,-0.003732442855834961,0.0743943527340889,0.36782386302947984,0.7686718273162839
2864601_0.46,9785.0,0.9836748750844733,0.07904868410341663,0.016138649972839904,-0.8753281545639038,-0.35368584394454955,-0.04856139421463013,0.0021178722381591797,0.09680509567260742,0.4022813796997069,0.8177273964881893
2864601_0.308,9785.0,0.9848238536347861,0.07348515898889238,0.00839522773122206,-0.7901231002807617,-0.3638646602630615,-0.06608223915100098,0.002881765365600586,0.08030956983566284,0.39069168567657375,0.8237656593322741
2864601_0.163,9785.0,0.9846290671995129,0.07442834389370705,0.0066169675639203545,-0.7460373497009277,-0.3544672757387161,-0.06554031372070312,0.0018142461776733398,0.08427250385284424,0.3786971092224119,0.8283698606491084
2864601_0.246,9785.0,0.9854117759938356,0.0706383514405078,0.0058119957719071245,-0.8104574584960937,-0.3574892163276672,-0.0657963752746582,0.00328671932220459,0.07821071147918701,0.3843879565596579,0.7822376441955561
2864601_0.438,9785.0,0.9838664660497471,0.07812097213984076,-0.0007222319919622884,-0.8731183052062989,-0.3759423494338989,-0.07511629164218903,-0.0005524158477783203,0.07280611991882324,0.3817546844482418,0.815467227697372
2864601_0.362,9785.0,0.9850600140849421,0.07234163494734881,0.009431059303674794,-0.8215750503540039,-0.35888309478759767,-0.05891609191894531,0.0116499662399292,0.08663320541381836,0.3576442182064056,0.7936903572082509
2864601_0.136,9785.0,0.9850228510785094,0.0725215837545423,0.002658489149267389,-0.8490691018104554,-0.3656542658805847,-0.06056618690490723,0.00012564659118652344,0.0766136646270752,0.37087079882621754,0.7706932854652404
2864601_0.250,9785.0,0.9850089880164266,0.07258871076404207,0.0196136777787204,-0.7586027061939239,-0.34269870519638057,-0.05155611038208008,0.007352352142333984,0.09172403812408447,0.3910060167312621,0.8678692770004273
2864601_0.247,9785.0,0.9839409681378808,0.07776022194280416,0.006694436995747418,-0.7874831581115722,-0.3528433322906494,-0.06810331344604492,0.0027426481246948242,0.07633495330810547,0.3842115521430964,0.831898758411406
2864601_0.382,9785.0,0.9849189169945404,0.07302484805504561,-0.0006170948785814177,-0.8644039630889893,-0.38430469036102294,-0.07292282581329346,0.006696581840515137,0.07437896728515625,0.36612980961799485,0.7714884901046752
2864601_0.307,9785.0,0.9852521758319018,0.07141115917391472,0.00840346649415897,-0.7942597663402557,-0.35995699763298034,-0.061524033546447754,0.011179566383361816,0.08968055248260498,0.37327425479888887,0.7536039161682127
2864601_0.339,9785.0,0.9853768222397631,0.07080760271902521,0.003506360156173086,-0.8114509153366088,-0.3536817133426666,-0.07010674476623535,0.0018140077590942383,0.07686805725097656,0.369454091787338,0.8426760709285708
2864601_0.426,9785.0,0.983799738352932,0.07844407757724366,0.001013914381846187,-0.8956832265853881,-0.38765480781439693,-0.07605981826782227,0.0017340928316116333,0.08742628991603851,0.37769331932067834,0.7760237455368036
2864601_0.379,9785.0,0.9850474320936254,0.07240255882156917,0.0079531372872408,-0.841862735748291,-0.35773544311523436,-0.06634598970413208,0.0031512975692749023,0.08552426099777222,0.38829243183135964,0.7843213140964506
