member_id,stored_validation_rank,stored_validation_r2,heldout_rank,heldout_r2,heldout_r2_ci_low,heldout_r2_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_probability_top10
2864601_0.498,84,0.9852847366278263,20,0.9855266800226852,0.9843133192183743,0.9867430068757538,25.0,6.475000000000001,55.52499999999998,0.07
2864601_0.271,85,0.9852781663945789,94,0.983953315739339,0.9825413675790082,0.9852946410998349,93.0,72.0,100.0,0.0
2864601_0.450,86,0.9852622576533231,41,0.9852320055195767,0.9838277376117291,0.9865282454495713,40.5,9.475000000000001,75.52499999999998,0.038
2864601_0.46,87,0.9852597481974614,100,0.9836748750844733,0.9817896593308127,0.9852948819795393,97.0,71.0,100.0,0.0
2864601_0.308,88,0.9852545456058796,67,0.9848238536347861,0.9834988349994009,0.9860651322063421,61.0,26.0,89.0,0.0
2864601_0.163,89,0.9852532207219727,73,0.9846290671995129,0.9831332133195042,0.9859914092442019,71.5,39.0,92.52499999999998,0.0
2864601_0.246,90,0.9852519428145636,24,0.9854117759938356,0.984120030631037,0.9866474744525235,32.0,8.475000000000001,68.52499999999998,0.054
2864601_0.438,91,0.9852448117304078,96,0.9838664660497471,0.9822820428371337,0.9853644121648403,94.0,75.0,100.0,0.0
2864601_0.362,92,0.9852437499754315,49,0.9850600140849421,0.9836754438478622,0.9863270194974524,51.5,14.0,85.0,0.008
2864601_0.136,93,0.9852271732044668,54,0.9850228510785094,0.9836012550126733,0.9862901138154099,52.0,16.475,89.52499999999998,0.008
2864601_0.250,94,0.9852260848904939,55,0.9850089880164266,0.9837526930122963,0.9862715819626569,53.0,17.0,85.0,0.004
2864601_0.247,95,0.9851968189547502,95,0.9839409681378808,0.9822002971035831,0.9856101038820428,92.0,58.0,100.0,0.0
2864601_0.382,96,0.9851953071572922,61,0.9849189169945404,0.9836363826153117,0.9861326880333839,57.0,22.0,88.0,0.0
2864601_0.307,97,0.9851743547486735,37,0.9852521758319018,0.983953859048062,0.9865671311433336,38.0,12.0,69.0,0.018
2864601_0.339,98,0.9851662119214212,30,0.9853768222397631,0.9840690315757692,0.9865974608593995,33.5,10.0,71.0,0.032
2864601_0.426,99,0.985162661317769,98,0.983799738352932,0.9823286210248858,0.9853302644055111,95.0,74.0,100.0,0.0
2864601_0.379,100,0.9851606281154485,52,0.9850474320936254,0.9836120159610087,0.9863723164636643,50.0,17.0,83.0,0.002
