member_id,unit_id,stratum,concept,rank_correlation_zero_lag,overlap_at_fixed_sparsity,sparsity,best_lag,lag_correlation,partial_rank_correlation,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,overall,f_Q_integrand_p3_Bm1__mean_w25,-0.11078562383057323,0.0752,0.05,19,-0.34358135569748066,-0.32447459253021266,observed-comparison,equilibrium_files,0.0,-0.36786143340640043,-0.31674384086839064
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bmag,0.04573432882466041,0.0775,0.05,20,0.23344801037945725,0.23002097133388258,observed-comparison,equilibrium_files,0.0,0.2005355614986441,0.27310013305217606
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bmag__mean_w9,0.06874442896133734,0.08083333333333333,0.05,20,0.2821143822370196,0.2759423214689962,observed-comparison,equilibrium_files,0.0,0.24116807811364133,0.3244923955422401
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bmag__mean_w25,0.11118321918014472,0.10166666666666666,0.05,18,0.35896434632849045,0.3594287872080509,observed-comparison,equilibrium_files,0.0,0.31013547662058283,0.40399210300554045
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,inverse_bmag,-0.04573432882466041,0.0775,0.05,20,-0.23471522671944925,-0.23002097133388258,observed-comparison,equilibrium_files,0.0,-0.2734429190242678,-0.20072409383159517
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,inverse_bmag__mean_w9,-0.07035279310804185,0.07833333333333332,0.05,20,-0.28522839653736304,-0.2789099796050894,observed-comparison,equilibrium_files,0.0,-0.3281348757223964,-0.24369816466439154
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,inverse_bmag__mean_w25,-0.11317811267133444,0.1025,0.05,18,-0.36477968299246954,-0.3650820011214016,observed-comparison,equilibrium_files,0.04,-0.4111356930418267,-0.31478612203410505
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bad_curvature,-0.04459510654900361,0.06083333333333333,0.05,20,-0.21846558271518854,-0.216695202648851,observed-comparison,equilibrium_files,0.0,-0.25489399532993845,-0.18323646610918154
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bad_curvature__mean_w9,-0.07572277971483041,0.0725,0.05,18,-0.2756126689394255,-0.2784917217284248,observed-comparison,equilibrium_files,0.0,-0.31719778273525656,-0.2362872372055075
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,bad_curvature__mean_w25,-0.10478531354730752,0.0925,0.05,19,-0.34688086469740625,-0.34373850067503026,observed-comparison,equilibrium_files,0.0,-0.3920524300525482,-0.2988872617231313
