member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.437,2864601_0.437:u007,7,unstable,760,1.2488924264907837,0.6081555485725403,1.2226181626319885,1.911406183242798,3.1654441809654235,7.521586894989014,0.9888020833333333,96.0,96.0,96.0,0.06931178158070543,0.22842880045538666,6.0
2864601_0.437,2864601_0.437:u008,8,overall,1000,0.8315175771713257,0.7124746441841125,0.7417122721672058,1.8500006198883057,2.5550029182434044,6.0819525718688965,0.80909375,96.0,74.0,96.0,0.17009012714697747,0.2731404224406655,2.0
2864601_0.437,2864601_0.437:u008,8,stable_or_near_floor,240,1.0036563873291016,0.731664776802063,0.9374672174453735,1.9763343095779424,2.583808422088623,4.12349271774292,0.8625,96.0,93.5,96.0,0.17009012714697747,0.2731404224406655,2.0
2864601_0.437,2864601_0.437:u008,8,unstable,760,0.7771579027175903,0.6975358724594116,0.6798060536384583,1.779022455215454,2.5216548967361456,6.0819525718688965,0.7922286184210526,96.0,69.0,96.0,0.17009012714697747,0.2731404224406655,2.0
2864601_0.437,2864601_0.437:u009,9,overall,1000,0.038388751447200775,0.22038866579532623,0.0,0.0,1.5044483292102673,2.364319086074829,0.04411458333333333,0.0,96.0,96.0,0.045418803659267724,0.12098390994491447,8.0
2864601_0.437,2864601_0.437:u009,9,stable_or_near_floor,240,0.06638166308403015,0.2861122190952301,0.0,0.0,1.6948728954792043,2.010850191116333,0.07495659722222223,0.0,96.0,96.0,0.045418803659267724,0.12098390994491447,8.0
2864601_0.437,2864601_0.437:u009,9,unstable,760,0.0295488853007555,0.1942504495382309,0.0,0.0,1.2474873399734592,2.364319086074829,0.034375,0.0,96.0,96.0,0.045418803659267724,0.12098390994491447,8.0
2864601_0.371,2864601_0.371:u000,0,overall,1000,2.0544443130493164,2.03167462348938,1.5554875135421753,4.862639999389649,8.52174474716184,16.40224838256836,0.8302083333333333,96.0,63.0,96.0,0.0672590512126917,0.2128607497698886,5.0
2864601_0.371,2864601_0.371:u000,0,stable_or_near_floor,240,1.7981655597686768,1.9262901544570923,1.262147307395935,4.511704969406128,8.088006019592285,11.580038070678711,0.777734375,96.0,66.0,96.0,0.0672590512126917,0.2128607497698886,5.0
2864601_0.371,2864601_0.371:u000,0,unstable,760,2.1353743076324463,2.0572140216827393,1.656704604625702,4.978837585449224,8.694142570495606,16.40224838256836,0.8467790570175439,96.0,63.0,96.0,0.0672590512126917,0.2128607497698886,5.0
