member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,12,3,gbdrift0_over_shat,13,2.1543223715852946,4,14.872301693466193,3.0974678993225098,1.014463186264038
2864601_0.437,12,4,gds2,13,0.1173779308956,14,24.449175251735582,0.9513699412345886,0.293129563331604
2864601_0.437,12,5,gds21_over_shat,13,0.09926109854131937,13,21.4075405489201,1.5765148401260376,0.4813201427459717
2864601_0.437,12,6,gds22_over_shat_squared,13,2.1839741514995694,0,15.662064077951452,2.25251841545105,0.8368836045265198
2864601_0.437,13,0,bmag,13,0.22343645058572292,11,14.192986037264971,2.9222230911254883,1.0240248441696167
2864601_0.437,13,1,gbdrift,13,0.34011792950332165,27,21.236600599768128,1.9002057313919067,0.6597397327423096
2864601_0.437,13,2,cvdrift,13,2.0941444784402847,10,16.909089387699485,3.263192892074585,1.0691933631896973
2864601_0.437,13,3,gbdrift0_over_shat,13,0.7129089012742043,6,17.13968342732183,3.7052931785583496,1.1882344484329224
2864601_0.437,13,4,gds2,13,0.33884651586413383,16,20.50410833474536,1.4246418476104736,0.443049818277359
2864601_0.437,13,5,gds21_over_shat,13,0.23520004702731967,18,23.379450084731353,0.6558669805526733,0.2468825727701187
2864601_0.437,13,6,gds22_over_shat_squared,13,0.062128755351295695,15,23.134126829814694,1.302411675453186,0.43959519267082214
2864601_0.437,14,0,bmag,13,1.1731823962181807,8,13.5540037218551,2.5925240516662598,0.9135124683380127
2864601_0.437,14,1,gbdrift,13,0.18432185472920537,5,20.190822994061133,1.658324956893921,0.5336742997169495
2864601_0.437,14,2,cvdrift,13,1.1229429468512535,0,17.651601690535536,1.5063668489456177,0.49884921312332153
2864601_0.437,14,3,gbdrift0_over_shat,13,7.472661044448614,0,10.011132919771288,7.47266149520874,2.8740246295928955
2864601_0.437,14,4,gds2,13,0.07118290802463889,39,26.501641423462374,0.5633081197738647,0.21809245645999908
2864601_0.437,14,5,gds21_over_shat,13,0.05184871261008084,7,20.934616460852375,0.9411147832870483,0.3215634822845459
2864601_0.437,14,6,gds22_over_shat_squared,13,0.15686109755188227,27,24.86818760945028,0.706480860710144,0.23588977754116058
2864601_0.437,15,0,bmag,13,2.003119178349152,0,11.217811435288384,2.0805904865264893,0.6742427349090576
2864601_0.437,15,1,gbdrift,13,1.0529761482030153,12,16.19705421707911,1.6146613359451294,0.5609624981880188
