member_id,concept_set,regime,held_out_r2,increment_r2_over_previous,increment_ci95_lower,increment_ci95_upper,bootstrap_selection_stability,gain_over_paper_baseline,completeness_relative_to_full_bottleneck,rows,outer_split_unit,inner_split_unit,bootstrap_unit,decoder,estimand,canonical_function,validity_tag,gain_over_paper_baseline_ci95_lower,gain_over_paper_baseline_ci95_upper,gain_over_paper_baseline_selection_stability,mse,bias_decoder_minus_member,residual_std
2864601_0.409,full_bottleneck_simple_decoder,stable_or_near_floor,-11.766627746017674,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8847481069511697,0.34045774196941186,0.8768332982296344
2864601_0.409,full_bottleneck_simple_decoder,unstable,0.833651553668751,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.5004203515660823,-0.0997268904687015,0.7003391313381867
2864601_0.437,full_bottleneck_exact_head,all,1.0,,,,,0.17689746714339005,1.0,1000,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.1608908846112838,0.1967371307222492,1.0,0.0,0.0,0.0
2864601_0.437,full_bottleneck_exact_head,stable_or_near_floor,1.0,,,,,,,240,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
2864601_0.437,full_bottleneck_exact_head,unstable,1.0,,,,,,,760,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
2864601_0.371,full_bottleneck_exact_head,all,1.0,,,,,0.1866334468285631,1.0,1000,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.1698323938071817,0.20639445691895433,1.0,0.0,0.0,0.0
2864601_0.371,full_bottleneck_exact_head,stable_or_near_floor,1.0,,,,,,,240,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
2864601_0.371,full_bottleneck_exact_head,unstable,1.0,,,,,,,760,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
2864601_0.409,full_bottleneck_exact_head,all,1.0,,,,,0.1721683746663576,1.0,1000,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.155686475848001,0.19050213671712368,1.0,0.0,0.0,0.0
2864601_0.409,full_bottleneck_exact_head,stable_or_near_floor,1.0,,,,,,,240,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
2864601_0.409,full_bottleneck_exact_head,unstable,1.0,,,,,,,760,not_fitted_exact_trained_head,not_fitted_exact_trained_head,equilibrium_files,trained_canonical_head_exact_ceiling,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.0,0.0,0.0
