member_id,feature_id,feature_kind,stratum,method,permutations,mean_signed,mean_absolute,rms,variance_contribution,variance_share,mean_sampling_se,maximum_sampling_se
2864601_0.386,2864601_0.386:u017,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-4.608106488982836e-12,4.777878833313783e-11,3.25715944718095e-10,4.841684544787691e-13,7.371399248959115e-12,4.72790949908782e-11,2.63417798684884e-09
2864601_0.386,2864601_0.386:u018,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.00942716614517849,0.014354851464546906,0.017470950086010757,-0.0005288864503456474,-0.008052224689152097,0.0009290525337036116,0.006028973963111639
2864601_0.386,2864601_0.386:u019,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0021327498007546334,0.0041370616573355315,0.006637773511999696,-0.0001176189212724958,-0.0017907321716464197,0.000739055743612956,0.006873928476125002
2864601_0.386,2864601_0.386:u020,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.001091475370049011,0.004134668524056906,0.007264778930957435,-0.0001674510549032817,-0.002549419667748281,0.0005988978104331485,0.008219254203140736
2864601_0.386,2864601_0.386:u021,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0034819742742305,0.02113113653031178,0.03186052426037103,-0.0008454814205082928,-0.012872340299107625,0.002267878623570141,0.015045124106109142
2864601_0.386,2864601_0.386:u022,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,8.606134324509184e-05,0.0004747409983489585,0.00333733240672176,5.781665653939166e-05,0.0008802507776980487,2.5296946049024882e-05,0.002167101949453354
2864601_0.386,2864601_0.386:u023,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,0.00011487152927050678,0.0022820436900171143,0.004631694846833758,-7.511208011037083e-05,-0.0011435712628353888,0.0003229049771191465,0.003155337180942297
2864601_0.386,2864601_0.386:u024,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.032605175716647256,0.09719559352767343,0.12782758445476286,-0.0014965496738339225,-0.022784766416898247,0.006052407385050173,0.024445509538054466
2864601_0.386,2864601_0.386:u025,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.005078739663197969,0.01369659742534471,0.018854799163377796,0.00035626086786017967,0.00542402353867771,0.0014810104643440051,0.01255317497998476
2864601_0.386,2864601_0.386:u026,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0029705974896690654,0.013269960329004486,0.017799725105204837,9.251999716920505e-05,0.0014086044461136687,0.0010124826877230561,0.006063068751245737
2864601_0.386,2864601_0.386:u027,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0490464977308875,0.13084869441130043,0.19145005535660978,-0.0028153691970551824,-0.042863615323838145,0.008037221171093734,0.037018872797489166
2864601_0.386,2864601_0.386:u028,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.006210710035641872,0.014845719482036657,0.022176073293073285,-0.000477787948290258,-0.007274256905027181,0.0018873199083543567,0.013802849687635899
2864601_0.386,2864601_0.386:u029,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,-0.0005874606740690069,0.006092524617633899,0.009268640350571575,0.0002059702671853112,0.003135869466077098,0.0009378205748314865,0.0065815644338727
2864601_0.386,2864601_0.386:u030,bottleneck_unit,stable_or_near_floor,captum_shapley_value_sampling,256,0.001802820493079101,0.003774540938078038,0.007211184434578274,2.1931133172141094e-05,0.00033389853696268054,0.0004968516583024515,0.006173999048769474
2864601_0.386,a_over_LT,scalar_drive,stable_or_near_floor,captum_shapley_value_sampling,256,-2.2204229475484074,2.4258047782680174,2.7841384316287576,0.08370605346959317,1.2744133451307857,0.026933555777456302,0.1151169016957283
2864601_0.386,a_over_Ln,scalar_drive,stable_or_near_floor,captum_shapley_value_sampling,256,-0.9257017639320111,1.1110034656565404,1.798957465731701,0.009239991477723995,0.14067762079338442,0.019019731277148823,0.07577499747276306
2864601_0.386,2864601_0.386:u000,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0011353059072893015,0.010339658419941675,0.014978093321721711,0.0025533475626348524,0.000825197570171559,0.0012825169007385285,0.012353487312793732
2864601_0.386,2864601_0.386:u001,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.006014938493210234,0.2714203939886494,0.33956630749971073,0.18944480948565945,0.061225270995955025,0.004433720418947623,0.06829535216093063
2864601_0.386,2864601_0.386:u002,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.00615962128814365,0.016081629139118474,0.025112191577807256,0.001573952446266808,0.0005086740846532737,0.001905099333693646,0.019840314984321594
2864601_0.386,2864601_0.386:u003,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0019485977352719363,0.04097445450514849,0.06717976619351955,0.01285535532353389,0.004154627490558062,0.0013047265409993185,0.019983390346169472
2864601_0.386,2864601_0.386:u004,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0004976702461135573,0.01704353855847761,0.06661608625722165,0.00948335451916882,0.003064855416008521,0.000815666868396348,0.03260978311300278
2864601_0.386,2864601_0.386:u005,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.02503079759281766,0.15820341727506418,0.2707228998871529,0.06476691688242431,0.020931542270621526,0.006227935565183734,0.06330101937055588
2864601_0.386,2864601_0.386:u006,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0062309509002692436,0.05113756383258365,0.09182022115312195,0.011240714191820605,0.003632803529697078,0.004109310502238821,0.038664206862449646
2864601_0.386,2864601_0.386:u007,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.009327387274013171,0.061372416015288575,0.09493104445432152,0.05049003867470864,0.016317503281552237,0.004610720473913501,0.03811043128371239
2864601_0.386,2864601_0.386:u008,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.01504077189042858,0.02650599183084284,0.042546577592820246,0.0064053055412090975,0.00207008346460981,0.0020110394890228856,0.044749923050403595
2864601_0.386,2864601_0.386:u009,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.00035592685970569667,0.07014597791731879,0.11755688796254143,-0.002080844136525787,-0.0006724926721667677,0.007434215828533596,0.08731144666671753
2864601_0.386,2864601_0.386:u010,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.009928541830633644,0.18724540241153015,0.2302371536609149,0.1418680691070821,0.045849295107826545,0.004610136505305275,0.04111587256193161
2864601_0.386,2864601_0.386:u011,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.005004988535687229,0.02990695128499187,0.06536372771498268,0.0287977554370833,0.009306934222677286,0.0007946920968459375,0.0273798368871212
2864601_0.386,2864601_0.386:u012,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0019334599701228158,0.022496711043564384,0.03667520936528078,0.015260915104025174,0.004932062617217987,0.001776159857306718,0.0324992761015892
2864601_0.386,2864601_0.386:u013,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.005724723225323128,0.023615354697004046,0.033906450319209046,-0.0015382715897806721,-0.0004971426517591104,0.0022232256617756795,0.012730032205581665
2864601_0.386,2864601_0.386:u014,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0002657470556809322,0.010671761764924188,0.019535538121266936,-0.0017403667524084577,-0.0005624562971023174,0.0006591784463552131,0.007060966454446316
2864601_0.386,2864601_0.386:u015,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0008236475617051934,0.02206968202299322,0.035857282045516393,-0.005703545774380121,-0.0018432869004029948,0.0014787995328300726,0.019747143611311913
2864601_0.386,2864601_0.386:u016,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0013710530489716851,0.014271066352031132,0.026771941931022086,0.0035979223359272365,0.001162785988371033,0.0011584488777187792,0.013340236619114876
2864601_0.386,2864601_0.386:u017,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-1.148835412765804e-12,2.3819187558011005e-11,1.7283956326378558e-10,2.5930606131619835e-13,8.380321381240988e-14,3.906922285690229e-11,5.685391712972887e-09
2864601_0.386,2864601_0.386:u018,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0016543286682510945,0.032101514350506476,0.06088883971467725,0.02658328871290778,0.00859125705175203,0.001418129580408851,0.027910461649298668
2864601_0.386,2864601_0.386:u019,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.003469712453002821,0.010468033425997036,0.016441496135735565,0.00038852552565758736,0.0001255646996178712,0.0011457809418541133,0.011896444484591484
2864601_0.386,2864601_0.386:u020,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0004379848629086107,0.008056593783035887,0.01989557128010178,9.544142445267822e-05,3.084501017589255e-05,0.0006919503903528392,0.012468134053051472
2864601_0.386,2864601_0.386:u021,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-0.0012704783197382073,0.0386724625862706,0.06289169206057708,-0.002127195642528344,-0.0006874726735918899,0.002617253490656199,0.019767437130212784
2864601_0.386,2864601_0.386:u022,bottleneck_unit,unstable,captum_shapley_value_sampling,256,-2.6128311123772475e-05,0.0005861836487862379,0.002655376210023134,6.829512575609527e-06,2.20717980791988e-06,1.8419154523928085e-05,0.0014127788599580526
2864601_0.386,2864601_0.386:u023,bottleneck_unit,unstable,captum_shapley_value_sampling,256,0.0005588914762483909,0.0071059291892053905,0.023024747131812982,0.0037559318211110217,0.0012138519087125503,0.0004490836522117622,0.015722595155239105
