member_id,unit_id,stratum,shapley_mean_absolute,shapley_rank,mean_ablation_rms,ablation_rank,member_spearman,encoded_column,used_column
2864601_0.355,2864601_0.355:u028,overall,0.014371116276248359,20.0,0.051573958565060946,20.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u029,overall,0.018593923515756613,17.0,0.0699085856247378,14.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.355,2864601_0.355:u030,overall,0.10358848132006825,4.0,0.1789669701285239,4.0,0.8487903225806454,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u000,overall,0.01712673496134812,17.0,0.06741619965742857,15.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u001,overall,0.14862593543838012,3.0,0.30559825393930967,3.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u002,overall,0.03190977971634129,12.0,0.1289776304143439,9.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u003,overall,0.044027592336788074,9.0,0.16928147434391924,7.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u004,overall,0.030565865751297678,13.0,0.1109128797649853,10.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u005,overall,0.01605821825377643,18.0,0.10534662892137264,12.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u006,overall,0.01914848965627607,16.0,0.06454859033633663,18.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u007,overall,3.154855221509934e-11,22.0,0.0,21.5,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u008,overall,0.06829763305874076,5.0,0.16494785115643143,8.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u009,overall,0.12547955012350576,4.0,0.22408137867233405,4.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
2864601_0.449,2864601_0.449:u010,overall,0.05308922064816579,8.0,0.09122634386396557,14.0,0.8980514337214358,see encoded_vs_used.csv grouped-CV target rows,mean_ablation_rms and shapley_mean_absolute
