source_family,source_id,member_id,function,method,summary,source_signed,validity_tag,source_feature_claims_permitted,gradient_set,stratum,sample_count,spearman_rho,spearman_ci95_lower,spearman_ci95_upper,bootstrap_stable,bootstrap_replicates,bootstrap_unit,gx_quantity,feature_claims_permitted,association_not_causation
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,-0.17101174236649413,-0.23399200843559617,-0.10948399382839685,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,-0.11653709653709654,-0.17625650196599607,-0.057449209351940124,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.47134387351778656,0.08478336331219036,0.74405418697587,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,-0.1749328773805986,-0.2306666595418371,-0.10897904576630933,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,-0.11937554337554337,-0.18240007391368188,-0.05896225989918571,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.18774703557312253,-0.2709258630649301,0.5865729633317665,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,-0.12415358124729588,-0.18697942852240387,-0.06506763800089597,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,0.024835392835392836,-0.03893128945740965,0.08954749088365103,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.12055335968379446,-0.2644169847776769,0.5331761786600495,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.437,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,0.024564969147065602,-0.035301360252373834,0.08691293775748117,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.29978539178539176,0.23702518566992178,0.3588517291829047,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.3049697043351447,0.1807158143511566,0.4226289824044922,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.16385007956257397,-0.22310794510371548,-0.09707896761603668,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.2993899193899194,0.2296101805875868,0.3589757848831996,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.303504401118075,0.16943381888252537,0.41143079093012264,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.16562508628049272,-0.2361513939079617,-0.09557993947693497,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,0.003687003687003687,-0.05695612768108516,0.06364667439037412,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,-0.1992230767895276,-0.32098935443574433,-0.07539782382443752,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,top10pct_absolute_mass_fraction,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,0.013340898224692583,-0.0659692996003538,0.09255894094479584,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,all,1000,-0.014351630351630352,-0.07728735957469997,0.04277348173646786,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,stable_or_near_floor,240,0.04878556919390962,-0.09297267853152104,0.18123540634859495,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,signed_cell_sum,True,deliberately_off_manifold_diagnostic,True,varied,unstable,760,-0.013092984469921356,-0.08379356866363266,0.06145017146291524,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,-0.10036088836088836,-0.16127785765693037,-0.038594281891395715,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.5118577075098815,0.0777552728255187,0.7988591842988363,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,positive_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,-0.1667777956666201,-0.224133132039659,-0.10435405630499715,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,all,1000,-0.10529128529128529,-0.17921009456749135,-0.03803643826054673,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,stable_or_near_floor,23,0.5158102766798419,0.08928106106240101,0.8096686559782934,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s06_attribution,ig_low_pass:all_channels,2864601_0.371,original_f,ig_low_pass,absolute_cell_sum,True,deliberately_off_manifold_diagnostic,True,fixed,unstable,977,-0.17094082894813642,-0.2246138187745253,-0.10669915987852932,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
