member_id,function,point_delta_residual_std_vs_f,bootstrap_median_delta,ci_95_lower,ci_95_upper,probability_improved
2864601_0.463,invariant_tilde_f,-0.01427587700913946,-0.014189667437463999,-0.018671766891068392,-0.00964305890493802,1.0
2864601_0.229,invariant_tilde_f,-0.005349316594703835,-0.00533470010168044,-0.007981158005101203,-0.0026726239987053518,1.0
2864601_0.224,invariant_tilde_f,-0.011070986606060262,-0.011227657628657656,-0.014080454160204137,-0.007575380652432568,1.0
2864601_0.373,invariant_tilde_f,-0.007998916144441148,-0.00795054935499781,-0.010849706255560802,-0.004693062862761059,1.0
2864601_0.481,invariant_tilde_f,-0.008304880124913427,-0.008220409708458665,-0.012479585116286359,-0.0033294507004296373,1.0
2864601_0.289,invariant_tilde_f,-0.00644160032574731,-0.006389191666635374,-0.010327073258451322,-0.00219477037809663,1.0
2864601_0.393,invariant_tilde_f,-0.0035503830843380824,-0.003599292457512865,-0.006674775377916227,-0.00041941729608054447,0.988
2864601_0.406,invariant_tilde_f,-0.010198224912586873,-0.010203541802828092,-0.01490527581324902,-0.005907195824025761,1.0
2864601_0.206,invariant_tilde_f,-0.006141043735394869,-0.006211532344917586,-0.008886516648426001,-0.003253695631875718,1.0
2864601_0.284,invariant_tilde_f,-0.008306332019319962,-0.008323688264243262,-0.013018600851690116,-0.004096487828562891,1.0
2864601_0.235,invariant_tilde_f,-0.010764650207306048,-0.010834692467296958,-0.013979459684496489,-0.007571696176805013,1.0
2864601_0.405,invariant_tilde_f,-0.009878896342890409,-0.009806859131424733,-0.013584069888715642,-0.005821889245823793,1.0
2864601_0.398,invariant_tilde_f,-0.007614583758557336,-0.007560347263022682,-0.010321982000262875,-0.004768053069635357,1.0
2864601_0.358,invariant_tilde_f,-0.012419087501281567,-0.012376854715254931,-0.016021768877897673,-0.008809046483646103,1.0
2864601_0.242,invariant_tilde_f,-0.009633351812920188,-0.009630062768006403,-0.013058961281853933,-0.006450164666245336,1.0
2864601_0.490,invariant_tilde_f,-0.008389449740972221,-0.008311960385510686,-0.012129345244647403,-0.005097296982443572,1.0
2864601_0.263,invariant_tilde_f,-0.009920359780258403,-0.010077884366382767,-0.013450128340574935,-0.006217774487729476,1.0
2864601_0.211,invariant_tilde_f,-0.010182112806223165,-0.010137399635358244,-0.01437348809032331,-0.006049074034319644,1.0
2864601_0.292,invariant_tilde_f,-0.012134607445787093,-0.01225438504795813,-0.016306457109199333,-0.008296139071224638,1.0
2864601_0.276,invariant_tilde_f,-0.00910293070550694,-0.009173262109958169,-0.012708649827436448,-0.005017011465501632,1.0
