entity,entity_type,shift,exact_pooling_subgroup,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.246,member,8,False,-0.0008402156755328179,0.03686777349561453,0.07831302770911405,0.8076224625110626,0.03659798703009703,0.2657287874423779,0.29471036413808155
2864601_0.246,member,9,False,-0.001586025521159172,0.04797674126178026,0.102835732904122,1.3999435901641846,0.048058170257891504,0.2657287874423779,0.38699507830487306
2864601_0.246,member,10,False,0.0006119440682232379,0.05297823902592063,0.11277031169346488,1.5997115969657898,0.052700891862684396,0.2657287874423779,0.42438123764787294
2864601_0.246,member,11,False,-0.0018509096764028072,0.05642158533260226,0.12452079394645063,1.9931986331939697,0.058192238700780254,0.2657287874423779,0.46860106932694456
2864601_0.246,member,12,False,-0.0015292299054563046,0.05091191514953971,0.11045235895030371,1.841743528842926,0.05161764419735735,0.2657287874423779,0.41565823565222426
2864601_0.246,member,13,False,-0.0022161314934492113,0.0512522344738245,0.10934522624392566,1.469569981098175,0.0511002484381342,0.2657287874423779,0.41149183457451594
2864601_0.246,member,14,False,-0.0003020358122885227,0.046624490316957236,0.09903720822071506,1.0750149488449097,0.046283007667917334,0.2657287874423779,0.3727003354583509
2864601_0.246,member,15,False,-0.0019704355634748935,0.04010881945863366,0.08922402505898458,1.2336457967758179,0.04169701781944693,0.2657287874423779,0.33577101644786006
2864601_0.246,member,16,False,0.0012137647978961467,0.020228539619594813,0.04430677873955113,0.6091187000274658,0.02070586415939013,0.2657287874423779,0.16673684159703192
2864601_0.246,member,17,False,-0.002065062377601862,0.037981155510991814,0.0827413086301809,1.0258572101593018,0.03866745327927346,0.2657287874423779,0.31137502799964034
2864601_0.246,member,18,False,-0.0023246717043220997,0.04936241982504726,0.10639760369273865,1.1510271951556206,0.049722737504721407,0.2657287874423779,0.40039923681889567
2864601_0.246,member,19,False,-0.0026731676682829855,0.05555464615672827,0.12149438789776572,1.4496046006679535,0.05677790991593253,0.2657287874423779,0.4572119907185865
2864601_0.246,member,20,False,-0.00033697070181369784,0.053535448260605335,0.1212838865308375,1.7332377433776855,0.05667953642020623,0.2657287874423779,0.45641982450673463
2864601_0.246,member,21,False,-0.0015754491835832595,0.05548426427692175,0.12397949537949562,1.9479166269302368,0.05793927391941064,0.2657287874423779,0.46656403535646296
2864601_0.246,member,22,False,-0.00017589222639799118,0.053044639103114605,0.11497704392611673,1.5283468961715698,0.0537321629039404,0.2657287874423779,0.43268569067267126
2864601_0.246,member,23,False,-0.0011328912898898125,0.0496324460580945,0.11416751748379483,1.5486868619918823,0.05335384732729505,0.2657287874423779,0.42963925204585357
2864601_0.246,member,24,False,0.0019862619414925575,0.03916189815104008,0.08799252378501767,1.1022876501083374,0.04112150096138854,0.2657287874423779,0.3311365871644541
2864601_0.246,member,25,False,0.0010819726027548313,0.04855959900096059,0.10762485010829084,1.175085425376892,0.05029626594198148,0.2657287874423779,0.40501765406816836
2864601_0.246,member,26,False,0.0022937047332525252,0.05363204721361399,0.11954406370264987,1.852298617362976,0.055866465911207544,0.2657287874423779,0.449872461517074
2864601_0.246,member,27,False,0.001127625934779644,0.05617096284031868,0.12545308388043963,2.113998055458069,0.05862792527695446,0.2657287874423779,0.47210949588080886
2864601_0.246,member,28,False,0.0014170234501361847,0.050074560306966304,0.11334450832049027,2.116353154182434,0.05296923087757546,0.2657287874423779,0.42654207476511563
2864601_0.246,member,29,False,-9.136702120304108e-05,0.04936224634200335,0.10822990822204849,1.7971076965332031,0.050579027439621546,0.2657287874423779,0.4072946302271359
2864601_0.246,member,30,False,-0.00010259638726711274,0.04383480378240347,0.09810258184387514,1.0516894459724426,0.045846229203105236,0.2657287874423779,0.3691831163198615
2864601_0.246,member,31,False,-0.002263934087008238,0.03357542570307851,0.08003907407991578,1.2044494152069092,0.03740461939433898,0.2657287874423779,0.3012058830745687
2864601_0.246,member,32,True,-1.3932585716247559e-09,1.5447288751602173e-07,2.6417766857413295e-07,2.384185791015625e-06,1.234580142148199e-07,0.2657287874423779,9.941627744469302e-07
2864601_0.246,member,33,False,-0.0025858324095606802,0.031605488911271094,0.07442645368835805,0.9661531448364258,0.034781676388507744,0.2657287874423779,0.28008427090157517
2864601_0.246,member,34,False,-0.0025519921220839023,0.04373010147735477,0.10090770636162891,1.4025916755199432,0.04715714660371814,0.2657287874423779,0.37973946042075063
2864601_0.246,member,35,False,-0.00260616597160697,0.05186659111455083,0.11804331161566965,1.6744462251663208,0.055165120208948336,0.2657287874423779,0.44422477802209076
2864601_0.246,member,36,False,-0.0024639339968562128,0.04998495881259441,0.11400821248276319,1.43528351187706,0.053279399402956826,0.2657287874423779,0.4290397498144057
2864601_0.246,member,37,False,-0.004154145069420337,0.0527702299207449,0.11697732372834578,1.3679214417934418,0.05466695263688831,0.2657287874423779,0.4402132145871166
2864601_0.246,member,38,False,-0.002804643049836159,0.05145047224313021,0.10814170074226558,0.9652764797210693,0.05053780548338402,0.2657287874423779,0.4069626847099343
2864601_0.246,member,39,False,-0.004324806418269872,0.04900442414358258,0.1073193468703571,1.3017101287841797,0.05015349527065611,0.2657287874423779,0.4038679734450255
2864601_0.246,member,40,False,-0.0008402178660035133,0.036867769218981265,0.07831302450819844,0.8076224029064178,0.036597985534214776,0.2657287874423779,0.29471035209228236
2864601_0.246,member,41,False,-0.0015860331542789936,0.04797674131765962,0.10283573652824177,1.3999431133270264,0.048058171951549544,0.2657287874423779,0.3869950919432891
2864601_0.246,member,42,False,0.0006119338162243367,0.0529782459102571,0.11277031925649042,1.5997121334075928,0.05270089539710924,0.2657287874423779,0.424381266109319
2864601_0.246,member,43,False,-0.0018509131036698817,0.05642157645151019,0.12452076912716338,1.993199110031128,0.05819222710199549,0.2657287874423779,0.46860097592612227
2864601_0.246,member,44,False,-0.001529232244938612,0.05091190762445331,0.11045233281971716,1.8417434692382812,0.051617631985763746,0.2657287874423779,0.4156581373166739
2864601_0.246,member,45,False,-0.002216118983924389,0.051252242483198644,0.10934525344487642,1.4695719182491302,0.05110026114994054,0.2657287874423779,0.41149193693809877
2864601_0.246,member,46,False,-0.0003020305819809437,0.04662448976561427,0.09903722404092434,1.0750151872634888,0.046283015061167616,0.2657287874423779,0.3727003949935237
2864601_0.246,member,47,False,-0.001970428552478552,0.040108830746263265,0.08922407694662174,1.2336488962173462,0.04169704206806977,0.2657287874423779,0.335771211713257
2864601_0.246,member,48,False,0.0012137605883181094,0.020228545289486647,0.04430678730102178,0.6091187596321106,0.020705868160417817,0.2657287874423779,0.166736873815862
2864601_0.246,member,49,False,-0.0020650649331510067,0.03798115073516965,0.08274128686983295,1.025855302810669,0.038667443110021224,0.2657287874423779,0.311374946110327
2864601_0.246,member,50,False,-0.002324675317853689,0.049362423796206714,0.10639761464755754,1.1510250493884087,0.0497227426242313,0.2657287874423779,0.40039927804445874
2864601_0.246,member,51,False,-0.0026731699481606485,0.05555464341491461,0.12149437185017888,1.449605017900467,0.05677790241642202,0.2657287874423779,0.4572119303277384
2864601_0.246,member,52,False,-0.00033697587251663207,0.05353545177727938,0.12128388913776159,1.7332383394241333,0.05667953763849872,0.2657287874423779,0.45641983431720384
