member_id,mean_identity_max_abs,mean_identity_relative_l2,equivariance_max_abs,equivariance_relative_l2,alignment_max_abs,alignment_relative_l2,mean_identity_pass,equivariance_pass,alignment_pass
2864601_0.212,9.5367431640625e-07,8.10245168736401e-08,1.9073486328125e-06,2.8470287460891086e-08,2.86102294921875e-06,1.5099215033842484e-07,True,True,True
2864601_0.123,3.5762786865234375e-07,8.487875646778775e-08,0.0,0.0,7.152557373046875e-07,1.4463746822457324e-07,True,True,True
2864601_0.288,2.384185791015625e-07,9.23279088738127e-08,3.948807716369629e-07,4.212841275830215e-08,5.960464477539062e-07,1.9619896818312554e-07,True,True,True
2864601_0.349,2.384185791015625e-07,7.128000589773364e-08,0.0,0.0,8.344650268554688e-07,1.715957012038416e-07,True,True,True
2864601_0.510,4.76837158203125e-07,8.210788848828088e-08,9.5367431640625e-07,1.0052841048491246e-07,9.5367431640625e-07,1.8144042712719965e-07,True,True,True
2864601_0.376,3.5762786865234375e-07,1.0711891462733547e-07,0.0,0.0,9.5367431640625e-07,2.0994464478008013e-07,True,True,True
2864601_0.305,2.384185791015625e-07,7.86734020152835e-08,4.76837158203125e-07,3.183761165814758e-08,7.152557373046875e-07,1.8833250692296133e-07,True,True,True
2864601_0.496,2.384185791015625e-07,7.457002482169628e-08,9.5367431640625e-07,5.205359343563032e-08,9.5367431640625e-07,1.5488633664517693e-07,True,True,True
2864601_0.261,4.76837158203125e-07,7.141708380231648e-08,4.76837158203125e-07,2.0352363350184532e-08,1.1920928955078125e-06,1.2733325149838493e-07,True,True,True
2864601_0.252,4.76837158203125e-07,9.2275001861708e-08,3.5762786865234375e-07,1.826830420270653e-08,1.1920928955078125e-06,1.6645353184685518e-07,True,True,True
2864601_0.208,4.76837158203125e-07,7.849684635630183e-08,4.76837158203125e-07,1.7664225637759046e-08,9.5367431640625e-07,1.2969694296316447e-07,True,True,True
2864601_0.230,4.76837158203125e-07,8.139932106132619e-08,0.0,0.0,2.384185791015625e-06,2.2175507297106378e-07,True,True,True
2864601_0.452,4.76837158203125e-07,1.008884424891221e-07,4.76837158203125e-07,1.435442609221127e-08,9.5367431640625e-07,1.8695853043482202e-07,True,True,True
2864601_0.498,4.76837158203125e-07,8.284975194783328e-08,9.5367431640625e-07,5.825012650007011e-08,1.6689300537109375e-06,2.2177441394433117e-07,True,True,True
2864601_0.271,2.384185791015625e-07,8.731944944884162e-08,3.5762786865234375e-07,4.606645020999167e-08,1.1324882507324219e-06,2.414841446807259e-07,True,True,True
2864601_0.450,7.152557373046875e-07,8.831372610984545e-08,9.5367431640625e-07,1.7865286139340242e-08,1.9073486328125e-06,1.4258354497087566e-07,True,True,True
2864601_0.46,4.76837158203125e-07,7.853780203959104e-08,0.0,0.0,9.5367431640625e-07,1.3560675427015667e-07,True,True,True
2864601_0.308,4.76837158203125e-07,8.62148183955469e-08,3.5762786865234375e-07,1.921324788156653e-08,1.0728836059570312e-06,2.1305314135133813e-07,True,True,True
2864601_0.163,4.76837158203125e-07,7.292297965477701e-08,9.5367431640625e-07,2.787832720230199e-08,1.9073486328125e-06,1.658915493862878e-07,True,True,True
2864601_0.246,9.5367431640625e-07,8.179087984672151e-08,0.0,0.0,1.430511474609375e-06,1.6170571370821563e-07,True,True,True
2864601_0.438,4.76837158203125e-07,9.186406657590851e-08,4.023313522338867e-07,2.224616757473541e-08,1.430511474609375e-06,1.9362776981779461e-07,True,True,True
2864601_0.362,2.384185791015625e-07,7.65892167464699e-08,0.0,0.0,8.344650268554688e-07,2.3793346315414965e-07,True,True,True
2864601_0.136,1.9073486328125e-06,1.281820374288145e-07,0.0,0.0,1.4826655387878418e-06,1.2302169238864735e-07,True,True,True
2864601_0.250,3.5762786865234375e-07,8.912940785421597e-08,4.76837158203125e-07,2.330558324104004e-08,9.5367431640625e-07,1.899385608794546e-07,True,True,True
2864601_0.247,9.5367431640625e-07,9.797776812092707e-08,0.0,0.0,9.5367431640625e-07,1.6087041387891077e-07,True,True,True
2864601_0.382,1.9073486328125e-06,9.990436211637643e-08,0.0,0.0,5.7220458984375e-06,1.8017725267327478e-07,True,True,True
2864601_0.307,2.384185791015625e-07,9.027851888276928e-08,4.76837158203125e-07,4.70621337456123e-08,8.344650268554688e-07,2.105533667418058e-07,True,True,True
2864601_0.339,4.76837158203125e-07,4.944821441199565e-08,4.76837158203125e-07,1.697813800660697e-08,1.430511474609375e-06,1.3301546175625845e-07,True,True,True
2864601_0.426,1.9073486328125e-06,8.260568051809969e-08,0.0,0.0,3.814697265625e-06,1.4062683817428479e-07,True,True,True
2864601_0.379,2.384185791015625e-07,8.571616660901782e-08,0.0,0.0,1.430511474609375e-06,2.1166519559301378e-07,True,True,True
