entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.235,member,varied,all,1000,-5.751149728894234e-09,8.890754543244839e-08,1.4375193015716592e-07,9.5367431640625e-07,6.924015896236562e-08
2864601_0.235,member,varied,stable_near_floor,240,-1.5863527854283652e-08,8.17390779654185e-08,1.223130677944407e-07,3.5762786865234375e-07,6.374201494607029e-08
2864601_0.235,member,varied,unstable,760,-2.557767162981786e-09,9.117127200098414e-08,1.4988636332025235e-07,9.5367431640625e-07,7.058865676367839e-08
2864601_0.235,member,fixed,all,1000,-5.2094459533691406e-08,1.0526180267333984e-07,1.368053202909925e-07,3.5762786865234375e-07,7.129415932379978e-08
2864601_0.235,member,fixed,stable_near_floor,23,-1.0366025178328804e-07,1.1402627696161685e-07,1.4493912670000286e-07,2.384185791015625e-07,7.463418714197779e-08
2864601_0.235,member,fixed,unstable,977,-5.088052583692506e-08,1.050554742100539e-07,1.3660800406798743e-07,3.5762786865234375e-07,7.121164376160041e-08
2864601_0.405,member,varied,all,1000,6.7697837948799134e-09,8.849892765283585e-08,1.3770638067379216e-07,4.76837158203125e-07,6.66853682609027e-08
2864601_0.405,member,varied,stable_near_floor,240,5.960464477539063e-09,8.593002955118815e-08,1.1880503098102015e-07,2.384185791015625e-07,6.20073610241823e-08
2864601_0.405,member,varied,unstable,760,7.025358316145445e-09,8.931015863230354e-08,1.4315769178711488e-07,4.76837158203125e-07,6.785066337331909e-08
2864601_0.405,member,fixed,all,1000,-1.430511474609375e-08,1.330375671386719e-07,1.8712441320751748e-07,7.152557373046875e-07,6.827396478914123e-08
2864601_0.405,member,fixed,stable_near_floor,23,0.0,1.4512435249660327e-07,1.9885484128673055e-07,4.76837158203125e-07,5.944713841392399e-08
2864601_0.405,member,fixed,unstable,977,-1.4641877938683469e-08,1.3275302664406346e-07,1.8683938914263845e-07,7.152557373046875e-07,6.85662325770814e-08
2864601_0.398,member,varied,all,1000,5.3802505135536195e-09,8.241180330514908e-08,1.3202433876427388e-07,4.76837158203125e-07,6.371218536958615e-08
2864601_0.398,member,varied,stable_near_floor,240,1.2355546156565349e-08,7.705142100652059e-08,1.1529959034633381e-07,3.5762786865234375e-07,6.062730869902411e-08
2864601_0.398,member,varied,unstable,760,3.1775255736551786e-09,8.410455560997913e-08,1.368819463412868e-07,4.76837158203125e-07,6.447034792958369e-08
2864601_0.398,member,fixed,all,1000,-4.458427429199219e-08,1.3709068298339843e-07,1.891637707725204e-07,4.76837158203125e-07,9.330469852776894e-08
2864601_0.398,member,fixed,stable_near_floor,23,-3.109807553498641e-08,1.5549037767493207e-07,1.925403721540566e-07,2.384185791015625e-07,9.320196648911193e-08
2864601_0.398,member,fixed,unstable,977,-4.490175901196264e-08,1.366575274277124e-07,1.8908355420499904e-07,4.76837158203125e-07,9.33072104751596e-08
2864601_0.358,member,varied,all,1000,-3.065099008381367e-09,8.866924326866865e-08,1.407258138308223e-07,4.76837158203125e-07,6.797505035214743e-08
2864601_0.358,member,varied,stable_near_floor,240,-4.346172014872233e-09,8.568167686462402e-08,1.2106524809688276e-07,2.384185791015625e-07,6.325561809928237e-08
2864601_0.358,member,varied,unstable,760,-2.660549637910567e-09,8.961268529099853e-08,1.4638685251183675e-07,4.76837158203125e-07,6.914062166330131e-08
2864601_0.358,member,fixed,all,1000,-4.76837158203125e-10,1.2111663818359375e-07,1.5931285736358752e-07,7.152557373046875e-07,8.373763503140584e-08
2864601_0.358,member,fixed,stable_near_floor,23,4.1464100713315216e-08,1.3475832731827445e-07,1.6858739404357614e-07,3.5762786865234375e-07,8.838044083676647e-08
2864601_0.358,member,fixed,unstable,977,-1.464187793868347e-09,1.2079549299413862e-07,1.5908800730418322e-07,7.152557373046875e-07,8.362462575394723e-08
2864601_0.242,member,varied,all,1000,-7.66734592616558e-09,9.018625132739543e-08,1.4423323755976377e-07,7.152557373046875e-07,6.997299694786524e-08
2864601_0.242,member,varied,stable_near_floor,240,-2.6884178320566814e-08,9.033828973770142e-08,1.3043304824161607e-07,4.76837158203125e-07,6.813968186913934e-08
2864601_0.242,member,varied,unstable,760,-1.5988725384599285e-09,9.013823919782513e-08,1.483246776470071e-07,7.152557373046875e-07,7.044362897256653e-08
2864601_0.242,member,fixed,all,1000,-8.237361907958984e-08,1.3196468353271484e-07,1.6487985040683846e-07,5.960464477539062e-07,8.514781943158608e-08
2864601_0.242,member,fixed,stable_near_floor,23,-1.7622242803158966e-07,2.0732050356657608e-07,2.4607031180483816e-07,4.76837158203125e-07,1.292913315369137e-07
2864601_0.242,member,fixed,unstable,977,-8.0164281714292e-08,1.3019069800479386e-07,1.6248045723944978e-07,5.960464477539062e-07,8.387518761242038e-08
2864601_0.490,member,varied,all,1000,5.409587174654007e-09,8.406070992350579e-08,1.415345053101787e-07,9.5367431640625e-07,6.799911199320665e-08
2864601_0.490,member,varied,stable_near_floor,240,6.984919309616089e-09,7.950390378634134e-08,1.1348488173371499e-07,2.384185791015625e-07,5.950834620364765e-08
2864601_0.490,member,varied,unstable,760,4.9121138688765076e-09,8.549970133524192e-08,1.4930144260984457e-07,9.5367431640625e-07,6.99787952842268e-08
2864601_0.490,member,fixed,all,1000,1.239776611328125e-08,1.4472007751464843e-07,1.9170099189496225e-07,7.152557373046875e-07,9.394525739200332e-08
2864601_0.490,member,fixed,stable_near_floor,23,-4.1464100713315216e-08,1.4512435249660327e-07,1.8601167144906376e-07,2.384185791015625e-07,9.082112671091799e-08
2864601_0.490,member,fixed,unstable,977,1.3665752742771238e-08,1.447105602939883e-07,1.9183289392294177e-07,7.152557373046875e-07,9.401810170393665e-08
2864601_0.263,member,varied,all,1000,-1.1895899660885334e-08,8.73032258823514e-08,1.4423980938781247e-07,9.5367431640625e-07,6.979515870767186e-08
