entity,function,stratum,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99,residual_std,cost_scope,wall_seconds,microseconds_per_sample
2864601_0.342,shift_averaged_bar_f,all,9785.0,0.985629801582852,0.06958263909516313,0.004959144606763606,-0.7941100788116455,-0.3507636785507202,-0.06197226047515869,0.0012922286987304688,0.07879908382892609,0.369021278619766,0.7679793304204936,0.2637520717394574,single_member,138.02245841687545,14105.514401315835
2864601_0.342,shift_averaged_bar_f,stable_near_floor,3170.0,-1126.8335033144924,0.02987207699643809,0.035868273971584694,-0.05851709842681885,-0.03125315904617309,-0.010537505149841309,0.0030521154403686523,0.020623624324798584,0.18706415295600873,0.7594994878768919,0.16909927346390372,single_member,138.02245841687545,14105.514401315835
2864601_0.342,shift_averaged_bar_f,unstable,6615.0,0.9705213900762264,0.08861249273884544,-0.009852940062394799,-0.9450833624601365,-0.44080592393875123,-0.12550818920135498,-0.0038852691650390625,0.12187888158950955,0.39969121962785714,0.7791757860779718,0.29753788892982674,single_member,138.02245841687545,14105.514401315835
2864601_0.342,invariant_tilde_f,all,9785.0,0.9855416110257584,0.07000967089581761,0.005934281414181378,-0.7841556119918823,-0.34859042167663573,-0.06079268455505371,0.0015316233038902283,0.07931631803512573,0.373239582777023,0.7744479942321775,0.2645403695602266,single_member,3.463868583086878,353.9978112505752
2864601_0.342,invariant_tilde_f,stable_near_floor,3170.0,-1141.8537591571437,0.030269907206056147,0.03513879520988991,-0.06025041580200195,-0.031769609451293944,-0.010928213596343994,0.0028038620948791504,0.020461291074752808,0.17650434374809232,0.7617562377452846,0.17042398460279373,single_member,3.463868583086878,353.9978112505752
2864601_0.342,invariant_tilde_f,unstable,6615.0,0.970374674624506,0.08905351834805401,-0.008060927766830874,-0.9441320198774338,-0.43941885689273474,-0.1246403157711029,-0.0029549598693847656,0.12259495258331299,0.40342164039611816,0.7916254651546474,0.298332020345923,single_member,3.463868583086878,353.9978112505752
2864601_0.359,original_f,all,9785.0,0.9847014864937116,0.07407767889483416,0.0047454344495809955,-0.7989548540115357,-0.3599969681352377,-0.06923198699951172,0.0014488697052001953,0.08409249782562256,0.368810224533081,0.8225083684921264,0.27214468349250237,single_member,4.194871415849775,428.70428368418754
2864601_0.359,original_f,stable_near_floor,3170.0,-1190.8692407492542,0.031568143369314315,0.03499832420084003,-0.07850112199783325,-0.03547492027282715,-0.009169578552246094,0.0027176737785339355,0.01857808232307434,0.18194620013236912,0.8196214962005612,0.17422065233341813,single_member,4.194871415849775,428.70428368418754
2864601_0.359,original_f,unstable,6615.0,0.9685798197041234,0.0944488395321581,-0.009752171069918797,-0.9304244995117188,-0.453501483798027,-0.13474464416503906,-0.003128528594970703,0.12813493609428406,0.40737150758504836,0.8219823855161655,0.3071937506709512,single_member,4.194871415849775,428.70428368418754
2864601_0.359,shift_averaged_bar_f,all,9785.0,0.9858789025016129,0.06837645537902656,0.00276690326322869,-0.7875687408447266,-0.33731273710727694,-0.06606912612915039,0.0013577938079833984,0.07768654823303223,0.35207320451736446,0.78225338935852,0.26148764300089605,single_member,78.56318241590634,8028.940461513167
2864601_0.359,shift_averaged_bar_f,stable_near_floor,3170.0,-1041.0253064462322,0.027599339880328998,0.03409562615284032,-0.07942107200622558,-0.03192058801651001,-0.008371531963348389,0.0028270483016967773,0.017925113439559937,0.19434689283370915,0.7359125471115099,0.1626197112365169,single_member,78.56318241590634,8028.940461513167
2864601_0.359,shift_averaged_bar_f,unstable,6615.0,0.9707526203258786,0.08791741624537144,-0.012246256458626016,-0.922190437912941,-0.4315793454647064,-0.1305689737200737,-0.004070639610290527,0.11414209008216858,0.3873057156801222,0.7967166778445226,0.29627810482305067,single_member,78.56318241590634,8028.940461513167
2864601_0.359,invariant_tilde_f,all,9785.0,0.9857374562962853,0.06906135895314466,0.003859312449710769,-0.7875165224075317,-0.3348777651786804,-0.06554150581359863,0.0016090869903564453,0.07855713367462158,0.35537161827087366,0.7876615548133848,0.2627803678738974,single_member,3.4556792909279466,353.16088818885504
2864601_0.359,invariant_tilde_f,stable_near_floor,3170.0,-1060.710030670273,0.02812071435266566,0.033105174778763805,-0.08140299320220946,-0.032996833324432366,-0.008779287338256836,0.0026279687881469727,0.01750004291534424,0.18367339372634847,0.7552406215667724,0.16441803309596015,single_member,3.4556792909279466,353.16088818885504
2864601_0.359,invariant_tilde_f,unstable,6615.0,0.9704987045602097,0.08868068523939085,-0.010155711523546695,-0.9091438889503479,-0.4311138123273848,-0.1292939893901348,-0.0028514862060546875,0.11626063287258148,0.3867151826620096,0.7922371697425842,0.29764230074885256,single_member,3.4556792909279466,353.16088818885504
2864601_0.475,original_f,all,9785.0,0.9852035599153057,0.07164656467637164,0.007991278583885708,-0.803915160894394,-0.35599613189697266,-0.05354619026184082,0.0024073123931884766,0.08133268356323242,0.37623631954193054,0.8432857751846302,0.2675631148822942,single_member,10.754519749898463,1099.082243219056
2864601_0.475,original_f,stable_near_floor,3170.0,-905.8045487220048,0.024017849461411674,0.029259113873405036,-0.03679155349731445,-0.013612961769104003,-0.0033527016639709473,0.0022531747817993164,0.009298920631408691,0.10996287465095515,0.7568125295639035,0.15221387114616167,single_member,10.754519749898463,1099.082243219056
