entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.355,member,fixed,all,1000,plain_reversal_control,-0.08231777220964431,0.2457030612230301,0.3302127698709867,1.5573832094669342,0.14266980259298878,,
2864601_0.355,member,fixed,stable_near_floor,23,stellarator_parity,-0.0028443802957949433,0.0029460295386936355,0.006724307302932935,0.024282455444335938,0.0034457877936243286,,
2864601_0.355,member,fixed,stable_near_floor,23,plain_reversal_control,0.18148819778276526,0.185019850730896,0.3905471725667207,1.4534507989883423,0.20013104985221733,,
2864601_0.355,member,fixed,unstable,977,stellarator_parity,-0.0037815705048513267,0.01967611027349591,0.039026461926365975,0.5086286067962646,0.016804453687528417,,
2864601_0.355,member,fixed,unstable,977,plain_reversal_control,-0.08852814816647689,0.2471316321967446,0.32865899520917763,1.5573832094669342,0.1415176931591382,,
2864601_0.449,member,varied,all,1000,stellarator_parity,-0.00022587449848651887,0.026731842771172524,0.05187565066198886,0.3901328444480896,0.025066479280830473,0.25852889984016847,0.20065706655642826
2864601_0.449,member,varied,all,1000,plain_reversal_control,0.0018792027458548546,0.2524643390402198,0.3998116042155426,1.7228639125823975,0.19319023791344686,0.25852889984016847,1.5464870831180577
2864601_0.449,member,varied,stable_near_floor,240,stellarator_parity,-0.0005826248476902643,0.00863704519967238,0.028595093243468008,0.19765806198120117,0.014870358267641808,0.1657586054352106,0.17251045982433086
2864601_0.449,member,varied,stable_near_floor,240,plain_reversal_control,0.05141499222566684,0.1018060707176725,0.2708558227673283,1.438529521226883,0.14085364538362258,0.1657586054352106,1.63403777472776
2864601_0.449,member,varied,unstable,760,stellarator_parity,-0.00011321649347480974,0.03244598937269889,0.057294714620066266,0.3901328444480896,0.027106415556433772,0.29227518531589947,0.19603003436005176
2864601_0.449,member,varied,unstable,760,plain_reversal_control,-0.013763678142506825,0.3000406342999716,0.4326208812680259,1.7228639125823975,0.20467509898259684,0.29227518531589947,1.4801834127671043
2864601_0.449,member,fixed,all,1000,stellarator_parity,0.00036214346438646314,0.022630046136677264,0.04389962757723048,0.3776986002922058,0.019011992934681612,,
2864601_0.449,member,fixed,all,1000,plain_reversal_control,-0.052415861256420615,0.20130907940119505,0.2846696855144731,2.48861026763916,0.12328437274776158,,
