gradient_set,stratum,n,shift,exact_pooling_subgroup,entity,rms_change_q10,rms_change_median,rms_change_q90,rms_over_residual_std_q10,rms_over_residual_std_median,rms_over_residual_std_q90
varied,all,1000,37,False,member_distribution,0.13193252543914324,0.15234050728106655,0.174417815419487,0.49268168560678754,0.567192522574935,0.6506409998131835
varied,all,1000,37,False,ensemble_mean,0.01528107712551925,0.01528107712551925,0.01528107712551925,0.06718257262236113,0.06718257262236113,0.06718257262236113
varied,all,1000,37,False,ensemble_spread,0.015422165605906845,0.015422165605906845,0.015422165605906845,,,
varied,all,1000,38,False,member_distribution,0.13207695894546143,0.1548142899803971,0.17577645301756792,0.49417232784193793,0.5715680567504404,0.6541223381628252
varied,all,1000,38,False,ensemble_mean,0.015132634600853801,0.015132634600853801,0.015132634600853801,0.06652995169703847,0.06652995169703847,0.06652995169703847
varied,all,1000,38,False,ensemble_spread,0.014745009831526233,0.014745009831526233,0.014745009831526233,,,
varied,all,1000,39,False,member_distribution,0.12106669809618718,0.13995319150964963,0.1623311801375725,0.44806012302000525,0.5187130142702372,0.6023363577993134
varied,all,1000,39,False,ensemble_mean,0.013851379368892447,0.013851379368892447,0.013851379368892447,0.06089697033309559,0.06089697033309559,0.06089697033309559
varied,all,1000,39,False,ensemble_spread,0.013448987162845528,0.013448987162845528,0.013448987162845528,,,
varied,all,1000,40,False,member_distribution,0.09584300632927395,0.11533630309392512,0.13786080273420595,0.35281440082232485,0.42821733101382153,0.5119652058716304
varied,all,1000,40,False,ensemble_mean,0.011404840522203311,0.011404840522203311,0.011404840522203311,0.050140871637236455,0.050140871637236455,0.050140871637236455
varied,all,1000,40,False,ensemble_spread,0.011404656734329492,0.011404656734329492,0.011404656734329492,,,
varied,all,1000,41,False,member_distribution,0.12130439299374006,0.14151510555693333,0.16160027625880186,0.4451587010508621,0.5275025709041765,0.6098974228716847
varied,all,1000,41,False,ensemble_mean,0.014003486283515958,0.014003486283515958,0.014003486283515958,0.06156570158509561,0.06156570158509561,0.06156570158509561
varied,all,1000,41,False,ensemble_spread,0.01429752205912117,0.01429752205912117,0.01429752205912117,,,
varied,all,1000,42,False,member_distribution,0.13450725357640506,0.15699576898801615,0.180342738520816,0.49322371734675036,0.5833303969017551,0.6711244959110633
varied,all,1000,42,False,ensemble_mean,0.016174331902842426,0.016174331902842426,0.016174331902842426,0.07110972732846278,0.07110972732846278,0.07110972732846278
varied,all,1000,42,False,ensemble_spread,0.01598007807639072,0.01598007807639072,0.01598007807639072,,,
varied,all,1000,43,False,member_distribution,0.13879992421842255,0.15956518148833382,0.18214522468382482,0.5094056312707615,0.5943817152216495,0.678119369951601
