target_kind,target_id,row_id,equilibrium_file,stable_or_near_floor,target_native_value,ebm_oof_prediction,signed_residual_target_minus_formula,fold,split_unit
member_output,2864601_0.437,8376,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002106.h5,False,6.656787872314453,5.954507288024241,0.7022805842902118,2,equilibrium_files
member_output,2864601_0.437,8384,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002108.h5,False,3.2027814388275146,2.9607840121639737,0.24199742666354096,1,equilibrium_files
member_output,2864601_0.437,8619,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002167.h5,True,-2.0240566730499268,-2.1551411515881127,0.13108447853818594,1,equilibrium_files
member_output,2864601_0.437,9514,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002392.h5,False,-0.7256652116775513,-0.8652325601627902,0.13956734848523888,2,equilibrium_files
member_output,2864601_0.437,9583,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002409.h5,True,-1.998489499092102,-1.3777832953597415,-0.6207062037323605,1,equilibrium_files
member_output,2864601_0.437,9909,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002492.h5,False,2.74123215675354,2.4274197540025884,0.3138124027509517,3,equilibrium_files
member_output,2864601_0.437,10041,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002525.h5,False,-0.7536147236824036,-0.5793697970590999,-0.1742449266233037,2,equilibrium_files
member_output,2864601_0.437,10068,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002532.h5,True,-2.0007874965667725,-2.312971447816684,0.3121839512499114,1,equilibrium_files
member_output,2864601_0.437,10580,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002661.h5,False,1.3684580326080322,0.7789652987096805,0.5894927338983518,4,equilibrium_files
member_output,2864601_0.437,10738,20241103-01-random_equilibria_and_flux_tubes_random_aspect_ratio/20241103-01-062_generate_flux_tubes_nfp2/nfp2_randomAspect_finiteBeta_maxm4_maxn4_LMN8_002701.h5,False,1.1390962600708008,0.08592077404523263,1.0531754860255682,3,equilibrium_files
