perturbation,family,registered_dose,path_dose,replicate,validity_tag,n,reconstruction_rms_median,reconstruction_percentile_median,nearest_distance_median,nearest_percentile_median,warning_score_median,warning_score_q90,fraction_outside_heldout_central_95pct,warning_tail_definition,cyclic_anchor,interpretation
block_permutation_L16_r0,block_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6141006272737725,0.41015625,2.3539638141703407,0.693359375,0.701171875,0.9453125,0.087,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L16_r0,block_permutation,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.7644904991130381,0.625,2.602965219041141,0.765625,0.66796875,0.94140625,0.075,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L32_r0,block_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L32_r0,block_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5727319353917866,0.337890625,2.10484841716857,0.625,0.75,0.9765625,0.125,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L32_r0,block_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5555166405998397,0.2880859375,2.2376768921597137,0.666015625,0.7578125,0.98046875,0.125,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L32_r0,block_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6144827278264189,0.41015625,2.352940702431905,0.6904296875,0.703125,0.94140625,0.091,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
block_permutation_L32_r0,block_permutation,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.7327545352281657,0.5908203125,2.565887748214611,0.75390625,0.671875,0.94140625,0.081,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r1,random_joint_shift,1.0,0.0,1,exact_symmetry,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r1,random_joint_shift,1.0,0.25,1,exact_symmetry,1000,0.534854965684745,0.259765625,2.0721202803475673,0.607421875,0.7734375,0.9847656250000001,0.166,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r1,random_joint_shift,1.0,0.5,1,exact_symmetry,1000,0.49226072153524136,0.185546875,2.0850270057070457,0.61328125,0.8125,0.98828125,0.262,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
