entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.373,member,training,3.0,1000,1.9850483181998133,1.150685173886855,-2.0126938819885254,5.584524631500244,0.015,0.9805224703899762,0.10529974124510773
2864601_0.481,member,training,3.0,1000,2.0093091850802303,1.1546588376163656,-2.0233547687530518,5.418591022491455,0.015,0.9827798974168639,0.10116706411237829
2864601_0.289,member,training,3.0,1000,2.0212070825323463,1.1458636095144032,-2.0492939949035645,5.635675430297852,0.014,0.9810978343706082,0.10516818726505153
2864601_0.393,member,training,3.0,1000,1.9960348023772239,1.1462968448423327,-1.9857842922210693,5.808422088623047,0.017,0.9793467786094285,0.10685909608076327
2864601_0.406,member,training,3.0,1000,2.0028509933650493,1.1396684435067685,-1.9994921684265137,5.605325222015381,0.017,0.9795432930578769,0.10506389763136394
2864601_0.206,member,training,3.0,1000,2.0187969641312957,1.1418668602677475,-2.027644395828247,5.656966686248779,0.015,0.9827778351944356,0.10096543138544076
2864601_0.284,member,training,3.0,1000,1.9988726003170014,1.1356374161803007,-2.0144762992858887,5.368795871734619,0.014,0.9825846354775127,0.10181011490593664
2864601_0.235,member,training,3.0,1000,2.0108080764114855,1.1580580295708673,-2.006464958190918,5.7648138999938965,0.016,0.9840783599528762,0.09681678521330468
2864601_0.405,member,training,3.0,1000,1.9975566263496876,1.1363627090578208,-2.0148391723632812,5.643347263336182,0.015,0.9834136886213241,0.10218177846516482
2864601_0.398,member,training,3.0,1000,2.019261743219569,1.1522979953112247,-2.0081043243408203,5.438622951507568,0.014,0.9790838688479376,0.11142734332871623
2864601_0.358,member,training,3.0,1000,2.0118602567091584,1.1546171081633836,-2.011671781539917,5.561700820922852,0.018,0.9804569010636722,0.10859046289767138
2864601_0.242,member,training,3.0,1000,2.012625934034586,1.1511759370393286,-1.9945422410964966,5.617091655731201,0.016,0.9800060852317091,0.10674233332346193
2864601_0.490,member,training,3.0,1000,2.029744332507253,1.1395789853952485,-2.023076057434082,6.254542827606201,0.017,0.9827668519256032,0.10171491476963274
2864601_0.263,member,training,3.0,1000,2.010259292374365,1.1511278021478433,-2.042665481567383,5.66035270690918,0.016,0.9777572242182045,0.10886063514254056
2864601_0.211,member,training,3.0,1000,2.010392271116376,1.1346322258982713,-2.013387441635132,5.451301097869873,0.018,0.9798941229866792,0.10726848233188503
2864601_0.292,member,training,3.0,1000,2.002058526556939,1.1462957048737523,-1.9953519105911255,5.462042808532715,0.014,0.9819036536445305,0.10251820954610594
2864601_0.276,member,training,3.0,1000,2.0007448409348725,1.1507336992913761,-2.0294535160064697,5.768362522125244,0.014,0.9826204589975112,0.10115158955822699
2864601_0.427,member,training,3.0,1000,2.004003544330597,1.157423172934397,-2.0338375568389893,5.787085056304932,0.019,0.9796434543706597,0.10568440326000564
2864601_0.461,member,training,3.0,1000,2.0008375697731973,1.147450067990792,-2.0580897331237793,5.748608112335205,0.012,0.9832450800338334,0.10160978907416575
2864601_0.471,member,training,3.0,1000,2.004522726133466,1.1414233032045356,-2.0287442207336426,5.402072906494141,0.014,0.978333641094749,0.10804477424849757
2864601_0.440,member,training,3.0,1000,1.9995875496566295,1.1224235527277089,-2.006535530090332,5.8119215965271,0.014,0.9768507686685062,0.1149121373265516
2864601_0.457,member,training,3.0,1000,2.0060725844558327,1.1521013471992905,-1.9933431148529053,5.6276373863220215,0.014,0.980985551668448,0.10258979675290175
2864601_0.400,member,training,3.0,1000,2.0052375367879867,1.1488911236628292,-2.0018503665924072,5.533274173736572,0.018,0.982623246185669,0.10114353416929953
2864601_0.385,member,training,3.0,1000,2.0036736505925656,1.1496434202837646,-2.039501428604126,5.637812614440918,0.014,0.9841147544141601,0.09744075195561164
2864601_0.350,member,training,3.0,1000,2.0042746261656283,1.145367065905975,-2.0497310161590576,5.6270833015441895,0.017,0.9784739386445743,0.10649904826353304
2864601_0.416,member,training,3.0,1000,2.001433578103781,1.1659985082789883,-2.0410733222961426,6.11090087890625,0.017,0.9816380188148826,0.103197427629726
2864601_0.342,member,training,3.0,1000,2.003325879022479,1.1526958669687761,-2.018186092376709,5.584835052490234,0.013,0.9813620501649787,0.09999572662706487
2864601_0.359,member,training,3.0,1000,2.0063476862162353,1.1524210240199704,-2.002943277359009,5.562025547027588,0.017,0.9791824758205032,0.108677104170667
2864601_0.475,member,training,3.0,1000,2.0153176801765804,1.1562420476973168,-2.0138988494873047,5.727487564086914,0.016,0.9840824492094818,0.09866780628543347
2864601_0.462,member,training,3.0,1000,2.0212402046620848,1.1522139515034926,-1.9923664331436157,7.626828193664551,0.015,0.9809516011346521,0.10545572155271657
2864601_0.268,member,training,3.0,1000,2.0035852795988323,1.1570759074493628,-1.9966967105865479,6.086329460144043,0.015,0.9844868166557047,0.09681921305204742
2864601_0.262,member,training,3.0,1000,2.0208041543960573,1.136084053095407,-2.008253574371338,5.701495170593262,0.011,0.9819545455915423,0.10364089202065953
