entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.487,member,fixed,unstable,977,32,2.0147834121875898e-07,3.129746761708101e-07,3.874301910400391e-06
2864601_0.487,member,fixed,unstable,977,64,1.8733977783421778e-07,2.8102598972795756e-07,1.9073486328125e-06
2864601_0.272,member,varied,all,1000,32,1.97485089302063e-07,2.930467831056513e-07,1.430511474609375e-06
2864601_0.272,member,varied,all,1000,64,2.0599365234375e-07,2.9944142028518107e-07,1.6987323760986328e-06
2864601_0.272,member,varied,stable_near_floor,240,32,2.2550423940022786e-07,3.29312291063339e-07,1.430511474609375e-06
2864601_0.272,member,varied,stable_near_floor,240,64,2.339482307434082e-07,3.229119794507393e-07,9.5367431640625e-07
2864601_0.272,member,varied,unstable,760,32,1.886369366394846e-07,2.8062251447188607e-07,1.430511474609375e-06
2864601_0.272,member,varied,unstable,760,64,1.9716589074385793e-07,2.91637502617222e-07,1.6987323760986328e-06
2864601_0.272,member,fixed,all,1000,32,1.4534592628479003e-07,2.230858610290153e-07,1.5497207641601562e-06
2864601_0.272,member,fixed,all,1000,64,1.469850540161133e-07,2.1975045091898174e-07,9.5367431640625e-07
2864601_0.272,member,fixed,stable_near_floor,23,32,1.9695447838824728e-07,2.4607031180483816e-07,4.76837158203125e-07
2864601_0.272,member,fixed,stable_near_floor,23,64,1.3475832731827445e-07,1.8601167144906376e-07,4.76837158203125e-07
2864601_0.272,member,fixed,unstable,977,32,1.4413098595891542e-07,2.2251617223889103e-07,1.5497207641601562e-06
2864601_0.272,member,fixed,unstable,977,64,1.472728889332579e-07,2.2048251918036323e-07,9.5367431640625e-07
2864601_0.404,member,varied,all,1000,32,2.2824108600616455e-07,3.251367129263826e-07,1.9073486328125e-06
2864601_0.404,member,varied,all,1000,64,2.1973252296447755e-07,3.194838150535145e-07,1.6689300537109375e-06
2864601_0.404,member,varied,stable_near_floor,240,32,2.1557013193766276e-07,2.9527870710098444e-07,9.5367431640625e-07
2864601_0.404,member,varied,stable_near_floor,240,64,2.2426247596740724e-07,3.23484498568844e-07,1.1920928955078125e-06
2864601_0.404,member,varied,unstable,760,32,2.3224243992253355e-07,3.340115002047045e-07,1.9073486328125e-06
2864601_0.404,member,varied,unstable,760,64,2.1830201148986817e-07,3.1820999166742634e-07,1.6689300537109375e-06
2864601_0.404,member,fixed,all,1000,32,1.7237663269042968e-07,2.483956975250138e-07,9.5367431640625e-07
2864601_0.404,member,fixed,all,1000,64,1.636892557144165e-07,2.433533448418992e-07,1.430511474609375e-06
2864601_0.404,member,fixed,stable_near_floor,23,32,2.0213749097741168e-07,2.972447552668461e-07,8.344650268554688e-07
2864601_0.404,member,fixed,stable_near_floor,23,64,1.7622242803158966e-07,2.653985876517111e-07,7.152557373046875e-07
2864601_0.404,member,fixed,unstable,977,32,1.7167601883106367e-07,2.4712941575557775e-07,9.5367431640625e-07
2864601_0.404,member,fixed,unstable,977,64,1.6339420662199585e-07,2.428102548598488e-07,1.430511474609375e-06
2864601_0.274,member,varied,all,1000,32,3.0257552862167356e-07,4.587455643006841e-07,3.337860107421875e-06
2864601_0.274,member,varied,all,1000,64,3.092475235462189e-07,4.4528332760996105e-07,2.384185791015625e-06
2864601_0.274,member,varied,stable_near_floor,240,32,2.883995572725932e-07,4.402204616752728e-07,1.9073486328125e-06
2864601_0.274,member,varied,stable_near_floor,240,64,2.9262155294418334e-07,4.30998539351028e-07,1.430511474609375e-06
2864601_0.274,member,varied,unstable,760,32,3.0705215115296214e-07,4.644421095801128e-07,3.337860107421875e-06
2864601_0.274,member,varied,unstable,760,64,3.1449783005212485e-07,4.4970005211946144e-07,2.384185791015625e-06
2864601_0.274,member,fixed,all,1000,32,2.091825008392334e-07,2.9726770867811537e-07,2.0265579223632812e-06
2864601_0.274,member,fixed,all,1000,64,2.0663440227508546e-07,3.0331495710431615e-07,2.5033950805664062e-06
