function,method,gradient_set,stratifier,stratum_value,sample_count,channel,channel_name,median_signed,median_absolute,sign_agreement
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,3,gbdrift0_over_shat,0.00010255968104226642,0.0016613894054828392,0.7625000000000001
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,4,gds2,-4.299322406526865e-05,0.000815204194995376,0.7458333333333332
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,5,gds21_over_shat,-2.3700815600518712e-05,0.0008781126018909165,0.7843750000000002
invariant_tilde_f,ig_low_pass,fixed,flux,medium_unstable,325,6,gds22_over_shat_squared,-3.392604983527666e-05,0.0006985027254791274,0.7135416666666666
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,0,bmag,-6.978810017564247e-06,0.00027817642212371255,0.7645833333333333
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,1,gbdrift,9.629419274352933e-06,0.0007738683973583185,0.7416666666666666
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,2,cvdrift,5.205974536281075e-06,0.0004692234945633813,0.7916666666666666
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,3,gbdrift0_over_shat,5.227704838198598e-05,0.001151880974937434,0.7364583333333332
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,4,gds2,-1.040132109883577e-05,0.0006293094213688815,0.7062499999999999
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,5,gds21_over_shat,-1.4093913097653988e-05,0.0007992735357043153,0.7229166666666665
invariant_tilde_f,ig_low_pass,fixed,flux,high_unstable,326,6,gds22_over_shat_squared,-5.495850558409051e-06,0.0005809367354457692,0.7374999999999999
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,0,bmag,-1.8394508875735587e-05,0.0012279304929678112,0.7083333333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,1,gbdrift,2.484166458841779e-05,0.0030680475800149223,0.7927083333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,2,cvdrift,4.376334248770294e-05,0.0015414257313586673,0.7239583333333334
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,3,gbdrift0_over_shat,0.00025805303211987247,0.00357487973279186,0.7479166666666667
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,4,gds2,-3.283883750198742e-05,0.0011299142173034021,0.7302083333333332
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,5,gds21_over_shat,-0.0001193804443642312,0.0014117152286250562,0.7479166666666667
invariant_tilde_f,ig_low_pass,fixed,equilibrium_class,0,240,6,gds22_over_shat_squared,-5.6006562215226616e-05,0.0014204623521024255,0.7875
