function,method,gradient_set,stratum,sample_count,channel,channel_name,median_signed,q25_signed,q75_signed,median_absolute,sign_agreement,signed,contribution_valued,estimand,validity_tag,baseline_convention,feature_claims_permitted
original_f,periodic_mask,varied,all,1000,1,gbdrift,0.11981255348288689,0.11544446689493855,0.12402136833955156,0.11981255348288689,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,all,1000,2,cvdrift,0.08507163688455845,0.08144600472569714,0.08875776838811189,0.08507163688455845,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,all,1000,3,gbdrift0_over_shat,0.1377035609343167,0.1301074993573548,0.14608094869737992,0.1377035609343167,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,all,1000,4,gds2,0.12159810384991675,0.1166573432331628,0.12652683482274169,0.12159810384991675,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,all,1000,5,gds21_over_shat,0.11184421885639832,0.10707557982261061,0.11683050089462348,0.11184421885639832,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,all,1000,6,gds22_over_shat_squared,0.11492369275680737,0.110486910621811,0.1197422412589957,0.11492369275680737,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,stable_or_near_floor,240,0,bmag,0.07198669278852714,0.06809634102730137,0.07578285657741539,0.07198669278852714,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,1,gbdrift,0.11431000518462509,0.10793090786010695,0.12045189599399182,0.11431000518462509,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,2,cvdrift,0.07914241906791943,0.07517932290506017,0.084069181162862,0.07914241906791943,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,3,gbdrift0_over_shat,0.12201312990018147,0.11336565425678818,0.13055326902094108,0.12201312990018147,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,4,gds2,0.11190707740888202,0.10542032565396281,0.1190219205040413,0.11190707740888202,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,5,gds21_over_shat,0.10841733201529137,0.10214286548515461,0.11470717901024703,0.10841733201529137,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,stable_or_near_floor,240,6,gds22_over_shat_squared,0.11681121285404801,0.11058155727254465,0.1232382813404785,0.11681121285404801,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",False
original_f,periodic_mask,varied,unstable,760,0,bmag,0.07462541605177427,0.06955162763356078,0.07935619389431738,0.07462541605177427,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,1,gbdrift,0.12136217939352484,0.11656345238071796,0.1264843297680165,0.12136217939352484,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,2,cvdrift,0.08659365518961726,0.08252551341077698,0.09123566531684575,0.08659365518961726,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,3,gbdrift0_over_shat,0.1422484455226565,0.13388824606699112,0.15190496068871137,0.1422484455226565,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,4,gds2,0.12429431704869864,0.11873242410725411,0.12984509929661806,0.12429431704869864,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,5,gds21_over_shat,0.11292167524138923,0.10733870978796235,0.11835758401142234,0.11292167524138923,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
original_f,periodic_mask,varied,unstable,760,6,gds22_over_shat_squared,0.11441632804027414,0.10941643908121952,0.11991879771280127,0.11441632804027414,1.0,False,False,"native max(log Q, -2)",deliberately_off_manifold_diagnostic,"fixed matched observation; observed endpoint, off-manifold path",True
