function,method,stratum,row_count,fraction,original_output,baseline_output,deletion_output,insertion_output,random_deletion_output,random_insertion_output,deletion_support_drift_rms,insertion_support_drift_rms,random_deletion_support_drift_rms,random_insertion_support_drift_rms,deletion_support_warning,insertion_support_warning,random_deletion_support_warning,random_insertion_support_warning,validity_tag
original_f,tsr_scaled_gradient,unstable,95,0.05,1.274226427078247,1.0389491319656372,0.9001098871231079,1.1524608135223389,1.1995549201965332,1.0386039018630981,0.43384939432144165,0.43384939432144165,1.489142894744873,1.489142894744873,0.6585526315789474,0.8098684210526316,0.6777960526315789,0.7210526315789474,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,unstable,95,0.1,1.274226427078247,1.0389491319656372,0.7585950493812561,1.2686864137649536,1.1584365367889404,1.0109983682632446,0.6358597278594971,0.6358597278594971,1.606438159942627,1.606438159942627,0.6503289473684211,0.7425986842105263,0.6495065789473684,0.7384868421052632,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,unstable,95,0.25,1.274226427078247,1.0389491319656372,0.6091085076332092,1.44619619846344,0.9626389145851135,0.9011582136154175,1.0304343700408936,1.0304343700408936,1.8840476274490356,1.8840476274490356,0.6314144736842106,0.649671052631579,0.6473684210526316,0.694078947368421,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,unstable,95,0.5,1.274226427078247,1.0389491319656372,0.6467145085334778,1.5009771585464478,0.8294224739074707,0.8627727031707764,1.539675235748291,1.539675235748291,2.740341901779175,2.740341901779175,0.618421052631579,0.6264802631578947,0.6695723684210526,0.6651315789473684,deliberately_off_manifold_diagnostic
original_f,tsr_scaled_gradient,unstable,95,1.0,1.274226427078247,1.0389491319656372,1.0389491319656372,1.274226427078247,1.0389491319656372,1.274226427078247,3.9369466304779053,3.9369466304779053,3.9369466304779053,3.9369466304779053,0.9052631578947369,0.6988486842105263,0.9052631578947369,0.6988486842105263,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,0.0,0.4387986958026886,-0.42654091119766235,0.4387986958026886,-0.42654091119766235,0.4387986958026886,-0.42654091119766235,0.0,0.0,0.0,0.0,0.706787109375,1.0,0.706787109375,1.0,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,0.05,0.4387986958026886,-0.42654091119766235,0.006408367305994034,-0.1531939059495926,0.37517547607421875,-0.4740605354309082,2.5789294242858887,2.5789294242858887,0.6322137117385864,0.6322137117385864,0.6724853515625,0.859130859375,0.6851806640625,0.88037109375,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,0.1,0.4387986958026886,-0.42654091119766235,-0.1460426151752472,0.046624742448329926,0.34465405344963074,-0.46510636806488037,2.8502328395843506,2.8502328395843506,1.2760087251663208,1.2760087251663208,0.669677734375,0.80322265625,0.6700439453125,0.8165283203125,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,0.25,0.4387986958026886,-0.42654091119766235,-0.40160977840423584,0.3221379518508911,0.19183218479156494,-0.3786596655845642,3.3128280639648438,3.3128280639648438,2.0204732418060303,2.0204732418060303,0.6639404296875,0.734130859375,0.652587890625,0.7149658203125,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,0.5,0.4387986958026886,-0.42654091119766235,-0.4877817928791046,0.4066026508808136,-0.13143664598464966,-0.1613331437110901,3.4675657749176025,3.4675657749176025,2.8273046016693115,2.8273046016693115,0.7069091796875,0.6744384765625,0.662353515625,0.6739501953125,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,all,128,1.0,0.4387986958026886,-0.42654091119766235,-0.42654091119766235,0.4387986958026886,-0.42654091119766235,0.4387986958026886,3.5661535263061523,3.5661535263061523,3.5661535263061523,3.5661535263061523,1.0,0.706787109375,1.0,0.706787109375,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,stable_or_near_floor,33,0.0,-1.966220736503601,-1.8262264728546143,-1.966220736503601,-1.8262264728546143,-1.966220736503601,-1.8262264728546143,0.0,0.0,0.0,0.0,0.7296401515151515,1.0,0.7296401515151515,1.0,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,stable_or_near_floor,33,0.05,-1.966220736503601,-1.8262264728546143,-1.92091965675354,-1.8506748676300049,-1.9647979736328125,-1.8407827615737915,1.9356197118759155,1.9356197118759155,0.8069542050361633,0.8069542050361633,0.6908143939393939,0.8570075757575758,0.7159090909090909,0.884469696969697,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,stable_or_near_floor,33,0.1,-1.966220736503601,-1.8262264728546143,-1.905074954032898,-1.8747750520706177,-1.9755079746246338,-1.8474853038787842,2.3691508769989014,2.3691508769989014,0.9475959539413452,0.9475959539413452,0.6941287878787878,0.8214962121212122,0.7192234848484849,0.8385416666666666,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,stable_or_near_floor,33,0.25,-1.966220736503601,-1.8262264728546143,-1.8941458463668823,-1.9231494665145874,-1.969586968421936,-1.864673137664795,2.836441993713379,2.836441993713379,1.8699357509613037,1.8699357509613037,0.6628787878787878,0.7604166666666666,0.6808712121212122,0.7320075757575758,deliberately_off_manifold_diagnostic
original_f,tsr_ig_robust_constant,stable_or_near_floor,33,0.5,-1.966220736503601,-1.8262264728546143,-1.854182481765747,-1.9512958526611328,-1.9355255365371704,-1.8901478052139282,3.109724283218384,3.109724283218384,2.3588693141937256,2.3588693141937256,0.7518939393939394,0.7054924242424242,0.7144886363636364,0.71875,deliberately_off_manifold_diagnostic
